"Player","Team","Position","ETR Rank","ETR Pos Rank","ADP","ADP Pos Rank","ADP Differential","Notes"
"Christian McCaffrey","SF","RB","1","RB1","1.0","RB1","0.0",
"CeeDee Lamb","DAL","WR","2","WR1","2.0","WR1","0.0",
"Tyreek Hill","MIA","WR","3","WR2","3.0","WR2","0.0",
"Ja'Marr Chase","CIN","WR","4","WR3","6.3","WR4","2.3",
"Bijan Robinson","ATL","RB","5","RB2","5.3","RB2","0.3",
"Breece Hall","NYJ","RB","6","RB3","5.7","RB3","-0.3",
"Amon-Ra St. Brown","DET","WR","7","WR4","7.3","WR5","0.3",
"Justin Jefferson","MIN","WR","8","WR5","5.7","WR3","-2.3",
"A.J. Brown","PHI","WR","9","WR6","9.3","WR6","0.3",
"Puka Nacua","LAR","WR","10","WR7","12.7","WR7","2.7",
"Garrett Wilson","NYJ","WR","11","WR8","13.0","WR8","2.0",
"Drake London","ATL","WR","12","WR9","23.0","WR11","11.0","1.08-1.12 drafters should snag London, our overall WR9, on the comeback since it's unlikely he's available in the third round."
"Jahmyr Gibbs","DET","RB","13","RB4","11.3","RB5","-1.7",
"Jonathan Taylor","IND","RB","14","RB5","11.0","RB4","-3.0",
"Marvin Harrison Jr.","ARI","WR","15","WR10","17.0","WR9","2.0",
"Saquon Barkley","PHI","RB","16","RB6","11.3","RB5","-4.7",
"De'Von Achane","MIA","RB","17","RB7","22.7","RB10","5.7","A gift at the second/third-round turn if there."
"Kyren Williams","LAR","RB","18","RB8","16.3","RB7","-1.7",
"Deebo Samuel","SF","WR","19","WR11","28.3","WR13","9.3",
"Jaylen Waddle","MIA","WR","20","WR12","36.3","WR17","16.3","Do not be afraid to draft him in the early-third round."
"Derrick Henry","BAL","RB","21","RB9","20.0","RB9","-1.0",
"Davante Adams","LV","WR","22","WR13","17.7","WR10","-4.3",
"Chris Olave","NO","WR","23","WR14","24.0","WR12","1.0",
"Nico Collins","HOU","WR","24","WR15","29.7","WR14","5.7",
"Malik Nabers","NYG","WR","25","WR16","52.3","WR24","27.3","Projected to be drafted in the mid-fourth round, we suggest ""reaching"" for Nabers in the third."
"Mike Evans","TB","WR","26","WR17","30.7","WR15","4.7",
"Cooper Kupp","LAR","WR","27","WR18","38.0","WR19","11.0",
"Devonta Smith","PHI","WR","28","WR19","47.7","WR23","19.7","A top-30 player worth being ahead of at the third/fourth-round turn."
"Brandon Aiyuk","SF","WR","29","WR20","31.3","WR16","2.3",
"Isiah Pacheco","KC","RB","30","RB10","23.7","RB11","-6.3",
"Josh Allen","BUF","QB","31","QB1","21.7","QB1","-9.3",
"Jalen Hurts","PHI","QB","32","QB2","32.3","QB2","0.3",
"Travis Etienne","JAX","RB","33","RB11","18.0","RB8","-15.0","Much more palatable in the third round."
"DK Metcalf","SEA","WR","34","WR21","39.3","WR22","5.3",
"Josh Jacobs","GB","RB","35","RB12","25.0","RB12","-10.0",
"D.J. Moore","CHI","WR","36","WR22","39.0","WR21","3.0",
"Sam LaPorta","DET","TE","37","TE1","26.0","TE1","-11.0",
"Tee Higgins","CIN","WR","38","WR23","57.7","WR26","19.7",
"Stefon Diggs","HOU","WR","39","WR24","38.3","WR20","-0.7",
"Tank Dell","HOU","WR","40","WR25","65.0","WR29","25.0","A steal in the fifth round."
"Travis Kelce","KC","TE","41","TE2","27.0","TE2","-14.0",
"Lamar Jackson","BAL","QB","42","QB3","38.0","QB4","-4.0",
"James Cook","BUF","RB","43","RB13","38.7","RB14","-4.3",
"Rashee Rice","KC","WR","44","WR26","87.3","WR37","43.3","Begin eyeing Rice in the sixth round (well ahead of ADP)."
"Michael Pittman","IND","WR","45","WR27","36.3","WR17","-8.7",
"Christian Kirk","JAX","WR","46","WR28","72.7","WR32","26.7",
"Zay Flowers","BAL","WR","47","WR29","58.7","WR27","11.7",
"Rachaad White","TB","RB","48","RB14","34.7","RB13","-13.3",
"Patrick Mahomes","KC","QB","49","QB4","33.0","QB3","-16.0",
"Joe Mixon","HOU","RB","50","RB15","42.3","RB15","-7.7",
"Kenneth Walker","SEA","RB","51","RB16","46.3","RB16","-4.7",
"Amari Cooper","CLE","WR","52","WR30","54.7","WR25","2.7",
"George Pickens","PIT","WR","53","WR31","59.0","WR28","6.0",
"Keenan Allen","CHI","WR","54","WR32","69.0","WR30","15.0",
"Kyle Pitts","ATL","TE","55","TE3","62.0","TE7","7.0",
"Trey McBride","ARI","TE","56","TE4","47.3","TE3","-8.7",
"Dalton Kincaid","BUF","TE","57","TE5","51.7","TE5","-5.3",
"Mark Andrews","BAL","TE","58","TE6","47.7","TE4","-10.3",
"David Montgomery","DET","RB","59","RB17","60.7","RB21","1.7",
"George Kittle","SF","TE","60","TE7","61.7","TE6","1.7",
"Chris Godwin","TB","WR","61","WR33","76.0","WR33","15.0",
"Xavier Worthy","KC","WR","62","WR34","98.0","WR40","36.0",
"Terry McLaurin","WAS","WR","63","WR35","71.3","WR31","8.3",
"Rome Odunze","CHI","WR","64","WR36","98.3","WR42","34.3","We are confident in drafting Odunze a full round ahead of ADP."
"Anthony Richardson","IND","QB","65","QB5","49.7","QB6","-15.3",
"Jayden Reed","GB","WR","66","WR37","83.7","WR35","17.7",
"Najee Harris","PIT","RB","67","RB18","69.0","RB24","2.0",
"Alvin Kamara","NO","RB","68","RB19","46.7","RB17","-21.3",
"Brian Thomas","JAX","WR","69","WR38","130.3","WR50","61.3","Typically being forgotten until the 10th, Thomas can be drafted comfortably in the eighth/ninth round."
"D'Andre Swift","CHI","RB","70","RB20","65.3","RB22","-4.7",
"James Conner","ARI","RB","71","RB21","58.7","RB19","-12.3",
"Rhamondre Stevenson","NE","RB","72","RB22","59.3","RB20","-12.7",
"Evan Engram","JAX","TE","73","TE8","71.0","TE8","-2.0",
"Jaylen Warren","PIT","RB","74","RB23","87.0","RB28","13.0",
"C.J. Stroud","HOU","QB","75","QB6","46.3","QB5","-28.7","Stroud would have to win MVP to return value at his current cost. This ranking leaves room for his floor."
"Calvin Ridley","TEN","WR","76","WR39","83.3","WR34","7.3",
"Joe Burrow","CIN","QB","77","QB7","61.0","QB7","-16.0",
"Aaron Jones","MIN","RB","78","RB24","55.7","RB18","-22.3",
"Kyler Murray","ARI","QB","79","QB8","67.0","QB8","-12.0",
"Diontae Johnson","CAR","WR","80","WR40","91.0","WR38","11.0",
"Ladd McConkey","LAC","WR","81","WR41","103.7","WR44","22.7",
"Jaxon Smith-Njigba","SEA","WR","82","WR42","115.0","WR46","33.0",
"Christian Watson","GB","WR","83","WR43","103.0","WR43","20.0",
"Zamir White","LV","RB","84","RB25","68.3","RB23","-15.7",
"Dak Prescott","DAL","QB","85","QB9","69.7","QB9","-15.3",
"Keon Coleman","BUF","WR","86","WR44","114.0","WR45","28.0",
"Raheem Mostert","MIA","RB","87","RB26","73.7","RB25","-13.3",
"Marquise Brown","KC","WR","88","WR45","85.7","WR36","-2.3",
"Devin Singletary","NYG","RB","89","RB27","91.7","RB30","2.7",
"Jayden Daniels","WAS","QB","90","QB10","106.7","QB14","16.7",
"Zack Moss","CIN","RB","91","RB28","84.0","RB26","-7.0",
"Jonathon Brooks","CAR","RB","92","RB29","94.3","RB32","2.3",
"Tony Pollard","TEN","RB","93","RB30","85.7","RB27","-7.3",
"Jake Ferguson","DAL","TE","94","TE9","85.3","TE9","-8.7",
"Jameson Williams","DET","WR","95","WR46","121.7","WR48","26.7",
"Jordan Love","GB","QB","96","QB11","73.0","QB10","-23.0",
"Josh Palmer","LAC","WR","97","WR47","156.7","WR60","59.7","A weekly FLEX option, Palmer can be drafted in the 12th round."
"Caleb Williams","CHI","QB","98","QB12","108.0","QB15","10.0",
"Jordan Addison","MIN","WR","99","WR48","98.0","WR40","-1.0",
"David Njoku","CLE","TE","100","TE10","88.0","TE10","-12.0",
"Brian Robinson","WAS","RB","101","RB31","96.0","RB34","-5.0",
"Trevor Lawrence","JAX","QB","102","QB13","125.0","QB17","23.0",
"Brock Bowers","LV","TE","103","TE11","103.0","TE11","0.0",
"Curtis Samuel","BUF","WR","104","WR49","128.7","WR49","24.7",
"DeAndre Hopkins","TEN","WR","105","WR50","97.3","WR39","-7.7",
"Rashid Shaheed","NO","WR","106","WR51","152.7","WR57","46.7","Much like Josh Palmer, Shaheed should be coveted one-two rounds earlier than his ADP suggests."
"Chase Brown","CIN","RB","107","RB32","116.7","RB39","9.7",
"Brock Purdy","SF","QB","108","QB14","92.3","QB11","-15.7",
"Dallas Goedert","PHI","TE","109","TE12","110.0","TE12","1.0",
"Tyjae Spears","TEN","RB","110","RB33","103.7","RB35","-6.3",
"Gus Edwards","LAC","RB","111","RB34","116.0","RB38","5.0",
"Courtland Sutton","DEN","WR","112","WR52","118.7","WR47","6.7",
"Javonte Williams","DEN","RB","113","RB35","95.0","RB33","-18.0",
"Jerome Ford","CLE","RB","114","RB36","120.0","RB40","6.0",
"Jakobi Meyers","LV","WR","115","WR53","145.0","WR54","30.0",
"Kirk Cousins","ATL","QB","116","QB15","134.0","QB18","18.0",
"Romeo Doubs","GB","WR","117","WR54","143.7","WR53","26.7",
"Tyler Lockett","SEA","WR","118","WR55","137.0","WR51","19.0",
"Tua Tagovailoa","MIA","QB","119","QB16","102.7","QB12","-16.3",
"Gabe Davis","JAX","WR","120","WR56","161.0","WR64","41.0",
"Blake Corum","LAR","RB","121","RB37","121.3","RB41","0.3",
"Trey Benson","ARI","RB","122","RB38","108.0","RB36","-14.0",
"Austin Ekeler","WAS","RB","123","RB39","94.0","RB31","-29.0",
"Mike Williams","NYJ","WR","124","WR57","159.0","WR62","35.0",
"Jerry Jeudy","CLE","WR","125","WR58","151.3","WR56","26.3",
"Rico Dowdle","DAL","RB","126","RB40","151.3","RB45","25.3",
"Brandin Cooks","DAL","WR","127","WR59","149.7","WR55","22.7",
"Ezekiel Elliott","DAL","RB","128","RB41","109.7","RB37","-18.3",
"Zach Charbonnet","SEA","RB","129","RB42","137.7","RB42","8.7",
"Taysom Hill","NO","TE","130","TE13","156.0","TE17","26.0",
"Khalil Shakir","BUF","WR","131","WR60","140.0","WR52","9.0",
"Dontayvion Wicks","GB","WR","132","WR61","158.7","WR61","26.7","We are expecting Wicks to be drafted multiple rounds after this ranking. Be early."
"Jared Goff","DET","QB","133","QB17","104.0","QB13","-29.0",
"Justin Herbert","LAC","QB","134","QB18","121.3","QB16","-12.7",
"Darnell Mooney","ATL","WR","135","WR62","175.0","WR70","40.0",
"Jahan Dotson","WAS","WR","136","WR63","154.3","WR59","18.3",
"Ty Chandler","MIN","RB","137","RB43","155.3","RB48","18.3",
"Nick Chubb","CLE","RB","138","RB44","89.3","RB29","-48.7","Odds are Chubb won't be on the board in this range. Drafting him any higher than this suggests a full bill of health, which we're very skeptical of."
"Deshaun Watson","CLE","QB","139","QB19","163.7","QB22","24.7",
"Antonio Gibson","NE","RB","140","RB45","157.0","RB49","17.0",
"Baltimore Ravens","BAL","DST","141","DST1","148.3","DST3","7.3",
"Dallas Cowboys","DAL","DST","142","DST2","150.0","DST4","8.0",
"Tyler Allgeier","ATL","RB","143","RB46","166.7","RB54","23.7",
"Dalton Schultz","HOU","TE","144","TE14","122.0","TE14","-22.0",
"Aaron Rodgers","NYJ","QB","145","QB20","140.0","QB19","-5.0",
"Cole Kmet","CHI","TE","146","TE15","134.7","TE15","-11.3",
"Chuba Hubbard","CAR","RB","147","RB47","148.3","RB44","1.3",
"Ray Davis","BUF","RB","148","RB48","166.5","RB53","18.5",
"Pat Freiermuth","PIT","TE","149","TE16","136.3","TE16","-12.7",
"Baker Mayfield","TB","QB","150","QB21","151.3","QB21","1.3",
"Ja'Lynn Polk","NE","WR","151","WR64","177.5","WR71","26.5",
"Brandon Aubrey","DAL","K","152","K1","155.0","K3","3.0",
"Adam Thielen","CAR","WR","153","WR65","162.7","WR65","9.7",
"San Francisco 49ers","SF","DST","154","DST3","134.3","DST1","-19.7",
"New York Jets","NYJ","DST","155","DST4","139.7","DST2","-15.3",
"Cleveland Browns","CLE","DST","156","DST5","165.7","DST5","9.7",
"Matthew Stafford","LAR","QB","157","QB22","142.7","QB20","-14.3",
"Justin Tucker","BAL","K","158","K2","151.3","K1","-6.7",
"Harrison Butker","KC","K","159","K3","161.3","K4","2.3",
"Younghoe Koo","ATL","K","160","K4","202.0","K10","42.0",
"Josh Downs","IND","WR","161","WR66","154.0","WR58","-7.0",
"Jake Moody","SF","K","162","K5","187.0","K7","25.0",
"Khalil Herbert","CHI","RB","163","RB49","180.7","RB60","17.7",
"Xavier Legette","CAR","WR","164","WR67","162.7","WR65","-1.3",
"Pittsburgh Steelers","PIT","DST","165","DST6","176.0","DST6","11.0",
"Indianapolis Colts","IND","DST","166","DST7","255.3","DST21","89.3",
"Houston Texans","HOU","DST","167","DST8","228.7","DST14","61.7",
"Ka'imi Fairbairn","HOU","K","168","K6","176.3","K5","8.3",
"Jake Elliott","PHI","K","169","K7","178.3","K6","9.3",
"Matt Gay","IND","K","170","K8","216.0","K13","46.0",
"Dustin Hopkins","CLE","K","171","K9","240.0","K16","69.0",
"Jason Sanders","MIA","K","172","K10","198.0","K9","26.0",
"Kansas City Chiefs","KC","DST","173","DST9","178.0","DST7","5.0",
"Tyler Bass","BUF","K","174","K11","207.0","K11","33.0",
"Evan McPherson","CIN","K","175","K12","211.3","K12","36.3",
"Matt Prater","ARI","K","176","K13","197.0","K8","21.0",
"Bucky Irving","TB","RB","177","RB50","171.0","RB56","-6.0",
"Cairo Santos","CHI","K","178","K14","236.0","K15","58.0",
"Marshawn Lloyd","GB","RB","179","RB51","154.0","RB47","-25.0",
"Anders Carlson","GB","K","180","K15","Unranked","Unranked",,
"Buffalo Bills","BUF","DST","181","DST10","200.0","DST9","19.0",
"Geno Smith","SEA","QB","182","QB23","178.0","QB24","-4.0",
"Chicago Bears","CHI","DST","183","DST11","257.0","DST23","74.0",
"Wan'Dale Robinson","NYG","WR","184","WR68","202.5","WR75","18.5",
"Las Vegas Raiders","LV","DST","185","DST12","224.3","DST12","39.3",
"T.J. Hockenson","MIN","TE","186","TE17","121.7","TE13","-64.3",
"Cameron Dicker","LAC","K","187","K16","242.3","K19","55.3",
"Cam Little","JAX","K","188","K17","Unranked","Unranked",,
"Miami Dolphins","MIA","DST","189","DST13","181.3","DST8","-7.7",
"Will Reichard","MIN","K","190","K18","254.0","K20","64.0",
"Jason Myers","SEA","K","191","K19","240.3","K17","49.3",
"Daniel Carlson","LV","K","192","K20","240.3","K17","48.3",
"Jaleel McLaughlin","DEN","RB","193","RB52","165.7","RB51","-27.3",
"Chase McLaughlin","TB","K","194","K21","319.0","K22","125.0",
"Blake Grupe","NO","K","195","K22","Unranked","Unranked",,
"New Orleans Saints","NO","DST","196","DST14","239.7","DST16","43.7",
"Adonai Mitchell","IND","WR","197","WR69","163.7","WR67","-33.3",
"Joshua Karty","LAR","K","198","K23","266.0","K21","68.0",
"Green Bay Packers","GB","DST","199","DST15","275.7","DST27","76.7",
"Jaylen Wright","MIA","RB","200","RB53","152.3","RB46","-47.7",
"Greg Zuerlein","NYJ","K","201","K24","234.0","K14","33.0",
"J.K. Dobbins","LAC","RB","202","RB54","140.3","RB43","-61.7",
"Chris Boswell","PIT","K","203","K25","153.0","K2","-50.0",
"Luke Musgrave","GB","TE","204","TE18","163.3","TE18","-40.7",
"Seattle Seahawks","SEA","DST","205","DST16","244.0","DST17","39.0",
"Philadelphia Eagles","PHI","DST","206","DST17","213.3","DST10","7.3",
"Ramiz Ahmed","WAS","K","207","K26","411.0","K23","204.0",
"Demario Douglas","NE","WR","208","WR70","189.5","WR73","-18.5",
"Eddy Pineiro","CAR","K","209","K27","449.0","K24","240.0",
"New York Giants","NYG","DST","210","DST18","265.0","DST26","55.0",
"Nick Folk","TEN","K","211","K28","Unranked","Unranked",,
"Chad Ryland","NE","K","212","K29","Unranked","Unranked",,
"Kendre Miller","NO","RB","213","RB55","170.7","RB55","-42.3",
"Tampa Bay Buccaneers","TB","DST","214","DST19","228.7","DST14","14.7",
"Wil Lutz","DEN","K","215","K30","Unranked","Unranked",,
"Malachi Corley","NYJ","WR","216","WR71","238.5","WR81","22.5",
"New England Patriots","NE","DST","217","DST20","227.7","DST13","10.7",
"Michael Wilson","ARI","WR","218","WR72","159.5","WR63","-58.5",
"Graham Gano","NYG","K","219","K31","Unranked","Unranked",,
"Detroit Lions","DET","DST","220","DST21","245.3","DST18","25.3",
"Jacksonville Jaguars","JAX","DST","221","DST22","258.0","DST24","37.0",
"Los Angeles Chargers","LAC","DST","222","DST23","287.0","DST28","65.0",
"Derek Carr","NO","QB","223","QB24","186.5","QB26","-36.5",
"Noah Fant","SEA","TE","224","TE19","204.3","TE26","-19.7",
"Minnesota Vikings","MIN","DST","225","DST24","256.7","DST22","31.7",
"Atlanta Falcons","ATL","DST","226","DST25","Unranked","Unranked",,
"Braelon Allen","NYJ","RB","227","RB56","179.0","RB58","-48.0",
"Rashod Bateman","BAL","WR","228","WR73","212.0","WR77","-16.0",
"Hunter Henry","NE","TE","229","TE20","180.0","TE21","-49.0",
"Ricky Pearsall","SF","WR","230","WR74","172.0","WR68","-58.0",
"Denver Broncos","DEN","DST","231","DST26","249.0","DST20","18.0",
"Jordan Mason","SF","RB","232","RB57","244.0","RB69","12.0",
"Cincinnati Bengals","CIN","DST","233","DST27","248.5","DST19","15.5",
"Jalen Tolbert","DAL","WR","234","WR75","270.5","WR89","36.5",
"Dameon Pierce","HOU","RB","235","RB58","179.3","RB59","-55.7",
"Demarcus Robinson","LAR","WR","236","WR76","213.5","WR78","-22.5",
"Tyler Conklin","NYJ","TE","237","TE21","179.3","TE20","-57.7",
"Jalen McMillan","TB","WR","238","WR77","254.5","WR87","16.5",
"D.J. Chark","LAC","WR","239","WR78","280.0","WR92","41.0",
"Jalin Hyatt","NYG","WR","240","WR79","253.5","WR86","13.5",
"Jermaine Burton","CIN","WR","241","WR80","194.0","WR74","-47.0",
"Tennessee Titans","TEN","DST","242","DST28","264.0","DST25","22.0",
"Washington Commanders","WAS","DST","243","DST29","224.0","DST11","-19.0",
"Juwan Johnson","NO","TE","244","TE22","228.0","TE28","-16.0",
"Darius Slayton","NYG","WR","245","WR81","281.0","WR93","36.0",
"Ben Sinnott","WAS","TE","246","TE23","203.3","TE25","-42.7",
"Cade Otton","TB","TE","247","TE24","192.0","TE22","-55.0",
"Roschon Johnson","CHI","RB","248","RB59","183.0","RB61","-65.0",
"Will Levis","TEN","QB","249","QB25","166.7","QB23","-82.3",
"Isaiah Likely","BAL","TE","250","TE25","173.0","TE19","-77.0",
"Drake Maye","NE","QB","251","QB26","204.5","QB27","-46.5",
"Elijah Mitchell","SF","RB","252","RB60","172.3","RB57","-79.7",
"Tyler Boyd","TEN","WR","253","WR82","245.5","WR83","-7.5",
"Greg Dortch","ARI","WR","254","WR83","268.5","WR88","14.5",
"Audric Estime","DEN","RB","255","RB61","194.5","RB63","-60.5",
"Los Angeles Rams","LAR","DST","256","DST30","297.0","DST29","41.0",
"Kimani Vidal","LAC","RB","257","RB62","166.0","RB52","-91.0",
"Colby Parkinson","LAR","TE","258","TE26","257.5","TE32","-0.5",
"Clyde Edwards-Helaire","KC","RB","259","RB63","200.5","RB64","-58.5",
"Tyrone Tracy","NYG","RB","260","RB64","163.5","RB50","-96.5",
"Chigoziem Okonkwo","TEN","TE","261","TE27","193.0","TE23","-68.0",
"Andrei Iosivas","CIN","WR","262","WR84","285.0","WR95","23.0",
"Arizona Cardinals","ARI","DST","263","DST31","320.0","DST30","57.0",
"Justin Fields","PIT","QB","264","QB27","179.0","QB25","-85.0",
"Roman Wilson","PIT","WR","265","WR85","214.0","WR79","-51.0",
"Jonnu Smith","MIA","TE","266","TE28","202.5","TE24","-63.5",
"Tank Bigsby","JAX","RB","267","RB65","223.5","RB65","-43.5",
"Carolina Panthers","CAR","DST","268","DST32","Unranked","Unranked",,
"Marvin Mims","DEN","WR","269","WR86","208.0","WR76","-61.0",
"Luke McCaffrey","WAS","WR","270","WR87","249.5","WR85","-20.5",
"Will Shipley","PHI","RB","271","RB66","224.5","RB67","-46.5",
"Michael Mayer","LV","TE","272","TE29","271.5","TE33","-0.5",
"Dawson Knox","BUF","TE","273","TE30","228.3","TE29","-44.7",
"Josh Reynolds","DEN","WR","274","WR88","295.0","WR99","21.0",
"Samaje Perine","DEN","RB","275","RB67","185.0","RB62","-90.0",
"D'Onta Foreman","CLE","RB","276","RB68","241.0","RB68","-35.0",
"Quentin Johnston","LAC","WR","277","WR89","173.0","WR69","-104.0",
"Ray-Ray McCloud","ATL","WR","278","WR90","291.0","WR98","13.0",
"Greg Dulcich","DEN","TE","279","TE31","231.0","TE30","-48.0",
"Javon Baker","NE","WR","280","WR91","245.0","WR82","-35.0",
"Allen Lazard","NYJ","WR","281","WR92","320.0","WR101","39.0",
"Cedrick Wilson","NO","WR","282","WR93","637.0","WR104","355.0",
"Troy Franklin","DEN","WR","283","WR94","183.0","WR72","-100.0",
"Treylon Burks","TEN","WR","284","WR95","289.5","WR97","5.5",
"Noah Brown","HOU","WR","285","WR96","Unranked","Unranked",,
"Theo Johnson","NYG","TE","286","TE32","256.5","TE31","-29.5",
"Odell Beckham Jr.","MIA","WR","287","WR97","221.0","WR80","-66.0",
"Zay Jones","ARI","WR","288","WR98","281.0","WR93","-7.0",
"Jauan Jennings","SF","WR","289","WR99","301.0","WR100","12.0",
"Keaton Mitchell","BAL","RB","290","RB69","224.0","RB66","-66.0",
"Tre Tucker","LV","WR","291","WR100","276.5","WR90","-14.5",
"Kalif Raymond","DET","WR","292","WR101","382.0","WR103","90.0",
"Elijah Moore","CLE","WR","293","WR102","285.5","WR96","-7.5",
"Jalen Nailor","MIN","WR","294","WR103","372.0","WR102","78.0",
"Kendrick Bourne","NE","WR","295","WR104","277.0","WR91","-18.0",
"Dylan Laube","LV","RB","296","RB70","248.5","RB70","-47.5",
"Kenneth Gainwell","PHI","RB","297","RB71","248.5","RB70","-48.5",
"Mike Gesicki","CIN","TE","298","TE33","216.0","TE27","-82.0",
"Devontez Walker","BAL","WR","299","WR105","246.0","WR84","-53.0",
"Justice Hill","BAL","RB","300","RB72","253.0","RB72","-47.0",
