player,player_id,position,player_game_count,team_name,dropbacks,attempts,no_pressure_dropback_percent,no_pressure_dropbacks,no_pressure_attempts,no_pressure_completions,no_pressure_completion_percent,no_pressure_thrown_aways,no_pressure_hit_as_threw,no_pressure_drops,no_pressure_yards,no_pressure_touchdowns,no_pressure_interceptions,no_pressure_accuracy_percent,no_pressure_qb_rating
Matt Schaub,1811,QB,16,HST,626,583,70.0,438,432,323,74.8,4,0,0,3858,24,11,77.8,109.5
Peyton Manning,327,QB,16,IND,583,571,78.2,456,455,324,71.2,2,0,0,3547,28,10,73.0,105.3
Tom Brady,698,QB,16,NE,587,565,74.3,436,431,307,71.2,1,0,0,3502,20,5,72.2,105.9
Jay Cutler,2956,QB,16,CHI,609,555,67.7,412,398,269,67.6,6,0,0,2704,19,15,70.2,86.9
Tony Romo,1693,QB,16,DAL,597,550,69.8,417,408,273,66.9,1,0,0,3499,22,7,68.6,104.4
Kyle Orton,2323,QB,16,DEN,581,541,70.4,409,405,278,68.6,10,0,0,3130,17,7,71.1,98.3
Aaron Rodgers,2241,QB,16,GB,623,541,68.4,426,410,278,67.8,3,0,0,3356,23,6,70.2,105.3
Brett Favre,14,QB,16,MIN,566,531,74.9,424,423,308,72.8,2,0,0,3553,26,3,74.2,115.3
David Garrard,1109,QB,16,JAX,593,516,65.1,386,365,246,67.4,4,0,0,2742,11,8,70.3,90.5
Drew Brees,802,QB,15,NO,539,514,75.1,405,401,307,76.6,1,0,0,3653,31,8,78.7,121.3
Kurt Warner,112,QB,15,ARZ,543,514,70.0,380,376,275,73.1,1,0,0,3027,25,7,76.8,111.0
Eli Manning,1722,QB,16,NYG,546,509,69.8,381,378,251,66.4,0,0,0,3086,21,10,68.4,98.9
Jason Campbell,2242,QB,16,WAS,577,507,65.7,379,367,265,72.2,8,0,0,2696,13,8,76.4,95.6
Ben Roethlisberger,1732,QB,15,PIT,567,506,71.8,407,402,280,69.7,3,0,0,3484,23,8,72.2,107.0
Joe Flacco,4332,QB,16,BLT,550,499,70.5,388,379,253,66.8,3,0,0,2871,15,9,68.8,92.6
Matt Cassel,2447,QB,15,KC,566,494,65.7,372,357,219,61.3,3,0,0,2334,11,8,64.4,81.4
Matt Hasselbeck,408,QB,14,SEA,537,488,74.1,398,389,243,62.5,7,0,0,2553,14,12,64.6,80.6
Philip Rivers,1725,QB,16,SD,522,486,71.8,375,369,261,70.7,11,0,0,3398,22,6,73.7,112.5
Carson Palmer,1317,QB,16,CIN,509,466,74.1,377,364,232,63.7,3,0,0,2527,17,11,66.1,87.1
Matt Ryan,4317,QB,14,ATL,482,451,74.1,357,348,224,64.4,11,0,0,2413,19,9,67.7,92.0
Chad Henne,4371,QB,14,MIA,484,451,77.5,375,370,242,65.4,2,0,0,2453,8,7,68.2,83.5
Donovan McNabb,438,QB,14,PHI,494,443,71.7,354,345,224,64.9,5,0,0,2980,18,8,69.1,99.9
Matthew Stafford,4924,QB,10,DET,415,377,70.4,292,283,171,60.4,2,0,0,1863,10,13,63.6,72.5
Alex Smith,2218,QB,11,SF,405,372,66.9,271,268,174,64.9,5,0,0,1843,15,9,69.3,89.5
Mark Sanchez,4928,QB,15,NYJ,406,363,76.1,309,293,168,57.3,5,0,0,2055,12,14,59.6,72.8
Jake Delhomme,303,QB,11,CAR,350,321,70.3,246,245,151,61.6,2,0,0,1671,8,10,64.8,75.7
Josh Freeman,4940,QB,10,TB,331,291,63.4,210,202,122,60.4,2,0,0,1403,7,12,63.2,68.2
Vince Young,2948,QB,12,TEN,297,259,70.0,208,191,121,63.4,5,0,0,1400,9,6,66.5,88.0
Brady Quinn,3638,QB,10,CLV,280,256,67.9,190,188,107,56.9,1,0,0,1094,6,6,59.8,71.1
Marc Bulger,684,QB,9,STR,266,247,75.6,201,199,122,61.3,2,0,0,1311,5,3,63.5,82.7
JaMarcus Russell,3617,QB,12,OAK,286,246,57.7,165,159,84,52.8,1,0,0,908,3,6,54.5,60.5
Ryan Fitzpatrick,2467,QB,10,BUF,266,227,66.5,177,168,103,61.3,0,0,0,1102,8,6,63.6,81.5
Kerry Collins,115,QB,7,TEN,224,216,71.0,159,158,100,63.3,4,0,0,1018,4,3,65.8,82.2
Trent Edwards,3708,QB,8,BUF,216,183,62.0,134,128,87,68.0,0,0,0,967,5,5,70.2,86.9
Derek Anderson,2430,QB,8,CLV,194,182,74.2,144,143,73,51.0,3,0,0,763,3,6,55.3,56.4
Kyle Boller,1335,QB,7,STR,201,176,63.2,127,124,81,65.3,1,0,0,732,2,2,69.2,79.8
Daunte Culpepper,446,QB,8,DET,182,157,68.1,124,117,71,60.7,2,0,0,733,2,2,63.4,77.3
Shaun Hill,1255,QB,6,SF,179,155,69.8,125,120,74,61.7,2,0,0,799,4,1,64.3,88.9
Bruce Gradkowski,3139,QB,7,OAK,172,150,64.5,111,106,59,55.7,3,0,0,733,4,2,61.5,82.0
Matt Moore,4018,QB,7,CAR,149,138,65.8,98,98,69,70.4,0,0,0,851,7,2,70.4,112.2
Josh Johnson,4474,QB,5,TB,154,125,60.4,93,81,47,58.0,0,0,0,470,4,3,62.7,75.6
Keith Null,5120,QB,4,STR,135,119,74.1,100,97,62,63.9,3,0,0,507,3,6,66.7,61.7
Chris Redman,635,QB,3,ATL,128,119,73.4,94,93,57,61.3,2,0,0,655,4,1,67.1,92.4
Seneca Wallace,1422,QB,7,SEA,132,118,72.0,95,93,64,68.8,0,0,0,565,3,0,71.1,95.5
Byron Leftwich,1323,QB,3,TB,111,107,63.1,70,69,43,62.3,0,0,0,452,3,1,62.3,89.8
Kevin Kolb,3652,QB,3,PHI,101,96,76.2,77,76,53,69.7,0,0,0,683,3,2,72.6,99.8
Charlie Frye,2284,QB,3,OAK,95,87,61.1,58,56,37,66.1,1,0,0,368,1,2,68.5,75.6
Matt Leinart,2955,QB,7,ARZ,79,77,64.6,51,51,37,72.5,0,0,0,303,0,3,72.5,62.8
Chad Pennington,596,QB,3,MIA,81,74,72.8,59,59,44,74.6,2,0,0,371,1,1,83.0,89.0
Drew Stanton,3659,QB,3,DET,62,51,66.1,41,37,20,54.1,2,0,0,182,0,4,57.1,28.0
Brodie Croyle,3030,QB,3,KC,42,39,61.9,26,26,17,65.4,1,0,0,143,1,0,70.8,92.3
David Carr,1009,QB,6,NYG,39,33,82.1,32,30,20,66.7,0,0,0,188,0,0,71.4,83.8
Billy Volek,768,QB,2,SD,32,31,71.9,23,23,17,73.9,0,0,0,207,1,1,73.9,97.6
Brian Brohm,4370,QB,1,BUF,31,29,61.3,19,19,12,63.2,0,0,0,103,0,2,66.7,37.7
Mark Brunell,51,QB,2,NO,30,29,70.0,21,21,15,71.4,0,0,0,102,0,0,71.4,81.8
Curtis Painter,5125,QB,2,IND,33,28,63.6,21,21,6,28.6,0,0,0,67,0,2,28.6,0.8
Brian Hoyer,5277,QB,4,NE,32,27,90.6,29,26,19,73.1,0,0,0,142,0,0,73.1,85.7
Kellen Clemens,2994,QB,3,NYJ,32,26,71.9,23,21,11,52.4,1,0,0,95,0,0,57.9,64.6
Dennis Dixon,4470,QB,1,PIT,26,26,69.2,18,18,10,55.6,0,0,0,110,0,1,58.8,50.7
Todd Collins,131,QB,3,WAS,25,23,48.0,12,12,6,50.0,1,0,0,69,0,0,66.7,67.7
Tarvaris Jackson,3009,QB,6,MIN,22,21,72.7,16,15,10,66.7,0,0,0,150,1,0,66.7,121.5
Chris Simms,1411,QB,2,DEN,22,17,45.5,10,10,5,50.0,0,0,0,23,0,1,55.6,16.7
Matt Flynn,4523,QB,4,GB,13,12,76.9,10,10,5,50.0,0,0,0,38,0,1,50.0,20.0
J.T. O'Sullivan,1169,QB,3,CIN,15,11,66.7,10,9,3,33.3,0,0,0,24,0,0,33.3,42.4
Michael Vick,773,QB,7,PHI,13,11,69.2,9,8,4,50.0,0,0,0,81,0,0,50.0,85.9
Troy Smith,3790,QB,3,BLT,10,9,90.0,9,9,5,55.6,0,0,0,24,0,1,55.6,21.3
Rex Grossman,1338,QB,1,HST,10,9,60.0,6,5,2,40.0,0,0,0,28,0,0,50.0,58.8
Tyler Thigpen,3833,QB,1,MIA,9,8,55.6,5,5,3,60.0,0,0,0,49,0,1,60.0,53.3
Caleb Hanie,4674,QB,2,CHI,7,7,71.4,5,5,3,60.0,0,0,0,11,0,0,60.0,64.6
Josh McCown,1085,QB,1,CAR,7,6,71.4,5,5,1,20.0,0,0,0,2,0,0,20.0,39.6
Ronnie Brown,2219,HB,4,MIA,7,6,28.6,2,2,1,50.0,0,0,0,21,0,0,50.0,87.5
Pat White,4967,QB,4,MIA,8,5,62.5,5,4,0,0.0,0,0,0,0,0,0,0.0,39.6
Joshua Cribbs,2544,WR,3,CLV,4,4,75.0,3,3,1,33.3,0,0,0,18,0,0,33.3,54.9
Brian St. Pierre,1470,QB,1,ARZ,4,4,25.0,1,1,1,100.0,0,0,0,3,1,0,100.0,118.8
Luke McCown,1827,QB,2,JAX,5,3,60.0,3,3,1,33.3,0,0,0,2,0,0,33.3,42.4
Charlie Batch,367,QB,1,PIT,2,2,50.0,1,1,1,100.0,0,0,0,17,0,0,100.0,118.8
Chris Johnson,4338,HB,1,TEN,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Ray Rice,4369,HB,1,BLT,1,1,100.0,1,1,0,0.0,0,0,0,0,0,0,0.0,39.6
Matt Gutierrez,3948,QB,1,KC,1,1,100.0,1,1,1,100.0,0,0,0,3,0,0,100.0,79.2
Clinton Portis,1058,HB,1,WAS,1,1,100.0,1,1,0,0.0,0,0,0,0,0,0,0.0,39.6
Brian Westbrook,1094,HB,1,PHI,1,1,100.0,1,1,0,0.0,0,0,0,0,0,0,0.0,39.6
Micheal Spurlock,3517,WR,1,SF,1,1,100.0,1,1,0,0.0,0,0,0,0,0,0,0.0,39.6
Michael Clayton,1736,WR,1,TB,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
J.P. Losman,1743,QB,1,OAK,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Mewelde Moore,1840,HB,1,PIT,1,1,100.0,1,1,1,100.0,0,0,0,6,1,0,100.0,131.3
Mark Clayton,2239,WR,1,BLT,1,1,100.0,1,1,1,100.0,0,0,0,0,0,0,100.0,79.2
Chris Brown,1407,HB,1,HST,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Fred Jackson,3368,HB,1,BUF,1,1,100.0,1,1,1,100.0,0,0,0,27,1,0,100.0,158.3
Sidney Rice,3660,WR,1,MIN,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Legedu Naanee,3788,WR,1,SD,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Tim Castille,3906,FB,1,KC,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
Ricky Williams,440,HB,1,MIA,1,1,0.0,0,0,0,,0,0,0,0,0,0,,0.0
