"Full Name",Position,"3-Cone Drill","Broad Jump","Throw Velocity","Vertical Jump","Burst Score","40-Yard Dash","Agility Score",SPARQ-x,"Wonderlic Score","Breakout Age"
"A.J. McCarron",QB,7.18,99,-,28.0,98.5,4.94,11.52,84.0,-,21.0
"Aaron Murray",QB,-,-,-,-,-,4.89,-,-,-,19.8
"Aaron Rodgers",QB,7.39,110,-,34.5,115.4,4.71,11.71,99.5,39,19.8
"Alek Torgersen",QB,7.75,117,-,30.0,111.0,4.96,12.43,76.5,-,-
"Alex McGough",QB,7.27,112,-,32.5,112.9,4.67,11.77,91.9,-,21.8
"Alex Smith",QB,6.82,113,-,32.0,112.5,4.71,10.79,108.0,40,19.3
"Alex Tanney",QB,7.13,103,-,29.0,102.3,5.01,11.58,80.2,-,-
"Andrew Luck",QB,6.80,124,-,36.0,125.0,4.67,11.08,105.6,37,20.0
"Andy Dalton",QB,6.93,106,"56 mph",29.5,104.6,4.87,11.20,89.0,29,20.9
"Anthony Boone",QB,7.47,100,"56 mph",26.5,96.4,5.03,12.09,74.1,20,21.9
"Antonio Pipkin",QB,7.07,116,-,36.5,121.9,4.71,11.32,104.5,-,-
"Austin Allen",QB,7.18,112,"54 mph",29.5,107.6,4.81,11.66,83.6,-,22.0
"Austin Appleby",QB,7.13,113,-,30.0,109.0,4.91,11.53,88.2,-,23.3
"Austin Davis",QB,6.73,109,"58 mph",31.0,108.8,4.76,10.84,100.5,-,21.3
"Austin Dodge",QB,7.06,105,-,28.0,101.5,5.05,11.47,77.8,-,-
"Baker Mayfield",QB,7.00,111,"60 mph",29.0,106.3,4.84,11.28,89.0,25,18.4
"Bart Houston",QB,7.00,118,-,29.0,109.8,5.17,11.44,79.5,-,-
"Ben Roethlisberger",QB,-,-,-,-,-,4.80,-,-,25,19.5
"Blaine Gabbert",QB,6.84,120,-,33.5,118.6,4.62,11.10,105.2,42,19.9
"Blake Bortles",QB,7.08,115,"56 mph",32.5,114.4,4.93,11.29,95.5,28,20.7
"Bo Wallace",QB,-,104,-,30.0,104.5,5.14,-,-,-,20.2
"Brad Kaaya",QB,-,-,"53 mph",-,-,-,-,-,34,19.0
"Brady Gustafson",QB,7.12,108,-,34.0,113.5,5.09,11.75,81.3,-,-
"Brandon Allen",QB,7.06,110,"55 mph",28.0,104.0,4.84,11.39,86.5,-,21.0
"Brandon Bridge",QB,7.18,110,"57 mph",33.0,112.8,4.72,11.55,96.8,-,-
"Brandon Doughty",QB,7.49,103,"53 mph",27.0,98.8,5.22,12.01,70.8,-,22.9
"Brandon Silvers",QB,7.68,103,-,28.0,100.5,5.11,12.46,69.6,-,21.3
"Brandon Weeden",QB,7.36,102,"59 mph",32.0,107.0,4.94,11.81,85.6,27,26.9
"Brendon Kay",QB,6.99,121,-,34.0,120.0,4.68,11.24,102.5,-,23.7
"Brett Hundley",QB,6.93,120,"53 mph",36.0,123.0,4.63,10.91,116.6,26,19.2
"Brett Rypien",QB,7.10,116,"57 mph",33.0,115.8,4.91,11.39,90.7,28,19.2
"Brett Smith",QB,6.98,128,-,31.0,118.3,4.64,11.16,99.7,-,19.2
"Brian Hoyer",QB,7.10,109,-,32.0,110.5,5.05,11.52,83.0,-,-
"Brock Jensen",QB,7.06,110,-,34.0,114.5,4.75,11.41,96.5,-,21.0
"Brock Osweiler",QB,-,-,-,-,-,4.88,-,-,25,20.8
"Brogan Roback",QB,7.50,113,-,30.0,109.0,5.08,11.95,78.8,-,22.0
"Bruce Gradkowski",QB,7.13,107,-,34.0,113.0,4.59,11.29,107.7,-,20.6
"Bryan Bennett",QB,7.13,125,"60 mph",37.0,127.3,4.81,11.33,101.4,-,-
"Bryce Petty",QB,6.91,121,"53 mph",34.0,120.0,4.87,11.04,101.4,31,22.3
"Bryn Renner",QB,7.22,108,"54 mph",25.5,98.6,4.87,11.52,85.3,-,21.7
"C.J. Beathard",QB,6.95,113,"54 mph",31.0,110.8,-,11.18,-,26,21.8
"Cam Newton",QB,6.92,126,"56 mph",35.0,124.3,4.59,11.10,112.9,21,21.3
"Cardale Jones",QB,-,-,-,36.0,-,4.81,-,-,25,22.9
"Carson Palmer",QB,-,105,-,33.0,110.3,4.75,-,-,26,22.7
"Carson Wentz",QB,6.86,118,"57 mph",30.5,112.4,4.77,11.01,100.6,40,21.7
"Case Keenum",QB,6.87,103,-,32.5,108.4,4.82,11.15,92.7,-,19.6
"Chad Henne",QB,7.17,106,"53 mph",25.5,97.6,4.92,11.57,81.2,22,20.2
"Chad Kanoff",QB,-,111,-,32.5,112.4,5.08,-,-,-,-
"Chad Kelly",QB,-,-,-,-,-,-,-,-,22,21.4
"Chandler Harnish",QB,6.78,112,"57 mph",32.5,112.9,4.76,10.93,100.5,-,20.1
"Charlie Whitehurst",QB,7.00,112,-,33.0,113.8,4.75,11.12,103.1,33,23.1
"Chase Daniel",QB,7.28,108,"57 mph",33.0,111.8,4.92,11.59,91.1,-,19.9
"Chase Litton",QB,7.49,106,"54 mph",29.5,104.6,4.90,12.02,83.2,24,20.1
"Christian Hackenberg",QB,7.04,114,"56 mph",31.0,111.3,4.78,11.37,92.8,24,18.6
"Christian Ponder",QB,6.85,116,"51 mph",34.0,117.5,4.65,10.94,109.8,35,20.5
"Clayton Thorson",QB,-,-,"57 mph",-,-,-,-,-,32,20.7
"Cody Fajardo",QB,6.95,118,"55 mph",32.5,115.9,4.63,11.05,107.5,-,19.4
"Cody Kessler",QB,7.32,104,"55 mph",29.5,103.6,4.89,11.32,98.9,-,20.3
"Cole Jaeschke",QB,7.24,118,-,36.5,122.9,5.08,11.66,87.9,-,19.6
"Cole Stoudt",QB,6.95,117,-,31.0,112.8,4.79,11.33,91.2,-,-
"Colin Kaepernick",QB,6.85,115,"59 mph",32.5,114.4,4.53,11.03,110.1,37,19.8
"Colt McCoy",QB,-,114,"56 mph",-,113.0,4.79,-,-,25,20.0
"Connor Cook",QB,7.21,113,"50 mph",33.0,114.3,4.79,11.49,95.5,25,20.6
"Connor Halliday",QB,-,-,-,-,-,4.92,-,-,22,21.5
"Connor Shaw",QB,7.07,116,"50 mph",34.0,117.5,4.66,11.40,97.8,-,20.0
"Cooper Rush",QB,7.23,105,"46 mph",27.0,99.8,4.93,11.70,80.5,-,20.8
"Corey Robinson",QB,7.53,102,-,28.0,100.0,5.11,12.33,66.7,-,20.4
"Dak Prescott",QB,7.11,116,"54 mph",32.5,114.9,4.79,11.43,95.0,25,20.1
"Dan Orlovsky",QB,7.33,107,-,29.5,105.1,4.93,11.76,84.0,30,19.1
"Daniel Jones",QB,7.00,120,"54 mph",33.5,118.6,4.81,11.41,92.1,37,19.3
"Danny Etling",QB,7.09,114,"55 mph",30.5,110.4,4.76,11.46,90.4,-,22.1
"David Blough",QB,7.22,107,-,31.5,108.6,4.96,11.77,78.7,-,20.1
"David Fales",QB,7.55,103,"53 mph",28.0,100.5,4.99,12.05,76.9,-,21.9
"Davis Webb",QB,6.92,118,"59 mph",33.0,116.8,4.79,11.13,99.6,25,18.6
"DeShone Kizer",QB,7.40,107,"56 mph",30.5,106.9,4.83,11.93,86.5,28,19.7
"Dennis Dixon",QB,-,-,-,-,-,4.63,-,-,29,21.7
"Derek Anderson",QB,7.67,103,-,29.0,102.3,5.03,12.34,77.5,23,19.2
"Derek Carr",QB,-,110,-,34.5,115.4,4.69,11.20,102.8,20,20.4
"Deshaun Watson",QB,6.95,119,"49 mph",32.5,116.4,4.66,11.26,98.9,20,20.0
"Devlin Hodges",QB,7.38,103,-,32.0,107.5,4.84,11.91,84.8,-,-
"Dillon Buechel",QB,7.38,117,-,34.5,118.9,5.01,12.15,77.6,-,-
"Dominique Davis",QB,6.89,128,-,38.5,131.4,4.61,11.05,111.2,-,21.1
"Drew Anderson",QB,6.89,115,-,36.0,120.5,4.90,11.29,92.2,-,-
"Drew Brees",QB,7.09,105,"52 mph",32.0,108.5,4.83,11.30,94.8,28,19.6
"Drew Lock",QB,7.03,112,"54 mph",31.0,110.3,4.69,11.15,103.5,26,18.8
"Drew Stanton",QB,6.77,108,"56 mph",30.5,107.4,4.75,11.18,91.2,35,20.3
"Dustin Vaughan",QB,7.25,108,"53 mph",29.0,104.8,4.95,11.68,84.5,-,20.6
"Dwayne Haskins",QB,-,-,"52 mph",28.5,-,5.04,-,-,25,21.3
"Dylan Thompson",QB,7.27,113,-,35.0,117.8,4.79,11.62,95.7,-,22.9
"E.J. Manuel",QB,7.08,118,"54 mph",34.0,118.5,4.65,11.29,106.7,28,21.5
"Easton Stick",QB,6.65,118,"54 mph",33.5,117.6,4.62,10.70,111.0,32,-
"Eli Manning",QB,-,-,-,30.0,-,4.95,-,-,39,20.7
"Gardner Minshew",QB,7.14,116,"54 mph",33.5,116.6,4.97,11.59,87.3,42,21.3
"Garrett Gilbert",QB,7.43,117,-,29.5,110.1,4.88,11.84,85.3,-,22.1
"Garrett Grayson",QB,6.97,121,-,34.0,120.0,4.79,11.32,93.9,20,23.3
"Geno Smith",QB,-,124,"55 mph",33.5,120.6,4.59,-,-,24,19.9
"Greg McElroy",QB,7.11,107,-,33.0,111.3,4.91,11.56,87.4,43,21.3
"Gunner Kiel",QB,7.47,117,-,35.0,119.8,4.89,12.00,86.8,-,21.1
"J.T. Barrett",QB,7.38,108,"52 mph",30.0,106.5,4.70,11.82,91.2,19,19.6
"Jacob Dolegala",QB,7.22,119,-,31.5,114.6,5.09,11.79,81.6,-,-
"Jacoby Brissett",QB,7.17,113,"56 mph",31.0,110.8,4.94,11.70,83.8,24,21.7
"Jake Browning",QB,7.19,112,"53 mph",29.0,106.8,4.74,11.63,86.6,-,19.1
"Jake Coker",QB,-,-,-,-,-,-,-,-,-,23.0
"Jake Locker",QB,6.77,115,"54 mph",35.0,118.8,4.59,10.89,112.4,20,19.2
"Jake Rudock",QB,7.09,111,-,29.0,106.3,4.93,11.31,87.2,-,20.6
"Jameis Winston",QB,7.16,103,"55 mph",28.5,101.4,4.97,11.52,84.9,27,19.7
"James Franklin",QB,7.44,-,-,26.0,97.2,5.00,12.00,75.4,-,20.1
"Jared Goff",QB,7.17,110,"58 mph",27.0,102.3,4.82,11.64,81.5,34,18.9
"Jarrett Stidham",QB,7.28,110,"53 mph",31.0,109.3,4.81,11.61,91.1,27,19.1
"Jason Campbell",QB,7.42,-,-,38.0,127.8,4.77,11.89,98.3,28,22.7
"Jay Cutler",QB,7.12,-,"58 mph",-,-,4.77,11.43,57.4,26,20.4
"Jeff Driskel",QB,7.19,122,"52 mph",32.0,117.0,4.56,11.44,106.1,29,18.4
"Jeff Mathews",QB,7.14,105,-,25.5,97.1,5.26,11.50,74.5,40,19.3
"Jeff Tuel",QB,6.90,111,-,32.0,111.5,4.65,11.02,105.1,-,-
"Jerod Evans",QB,7.10,112,"55 mph",26.5,102.4,4.80,11.51,85.8,21,22.6
"Jerry Lovelocke",QB,7.30,113,"51 mph",31.5,111.6,4.99,11.81,86.3,-,-
"Jimmy Garoppolo",QB,7.04,110,"56 mph",30.5,108.4,4.97,11.30,89.7,24,19.8
"Joe Callahan",QB,7.47,107,-,33.0,111.3,5.03,12.17,77.7,24,-
"Joe Flacco",QB,6.82,110,"56 mph",28.5,104.9,4.84,11.09,91.8,27,21.6
"Joe Licata",QB,7.07,108,-,31.0,108.3,4.98,11.51,82.5,-,21.8
"Joe Webb",QB,6.71,137,-,42.5,142.9,4.49,10.75,126.7,-,21.8
"Joel Stave",QB,7.29,115,"56 mph",33.5,116.1,4.80,11.62,97.1,-,21.3
"John Skelton",QB,7.17,108,"50 mph",33.5,112.6,4.85,11.50,96.7,24,19.5
"John Wolford",QB,6.78,109,-,31.0,108.8,4.82,10.96,93.8,-,20.9
"Johnny Manziel",QB,6.75,113,-,31.5,111.6,4.68,10.78,104.6,32,19.8
"Jon Jennings",QB,6.85,119,-,31.0,113.8,4.70,11.04,96.2,-,19.1
"Jordan Palmer",QB,7.32,104,-,30.5,105.4,4.98,11.90,80.9,23,20.3
"Jordan Ta'amu",QB,7.06,109,"56 mph",27.5,102.6,4.77,11.42,87.7,-,19.7
"Josh Allen",QB,6.90,119,"62 mph",33.5,118.1,4.75,11.30,96.7,37,20.3
"Josh Freeman",QB,7.11,119,"57 mph",33.5,118.1,4.97,11.54,91.3,27,19.6
"Josh Johnson",QB,7.56,110,"49 mph",33.5,113.6,4.55,11.98,99.8,24,19.3
"Josh McCown",QB,6.85,120,-,38.5,127.4,4.59,10.75,123.8,30,-
"Josh Rosen",QB,7.09,111,"58 mph",31.0,109.8,4.92,11.37,90.8,29,18.6
"Josh Woodrum",QB,6.74,117,"56 mph",31.0,112.8,4.80,11.05,94.0,32,-
"Joshua Dobbs",QB,6.75,122,"51 mph",33.0,118.8,4.64,11.06,99.5,29,19.6
"Justice Hansen",QB,7.47,113,-,29.5,108.1,4.99,12.12,76.1,-,21.7
"K.J. Carta-Samuels",QB,7.27,116,-,35.5,120.1,5.00,11.72,88.1,-,-
"Keith Price",QB,7.16,110,-,32.5,111.9,4.80,11.49,89.8,-,20.2
"Keith Wenning",QB,7.07,100,"56 mph",28.0,99.0,5.00,11.32,85.1,-,20.6
"Kellen Clemens",QB,-,-,-,-,-,4.94,-,-,35,22.3
"Kellen Moore",QB,7.41,99,"52 mph",27.0,96.8,4.94,11.97,73.1,26,19.2
"Kenny Hill",QB,-,-,-,-,-,4.83,-,-,-,19.7
"Kevin Hogan",QB,6.90,113,"53 mph",32.5,113.4,4.78,11.21,94.4,38,20.9
"Kevin Kolb",QB,6.94,112,"55 mph",32.5,112.9,4.85,11.38,88.4,28,21.0
"Kevin Rodgers",QB,7.48,116,-,32.0,114.0,5.03,12.04,79.9,-,20.8
"Kirk Cousins",QB,7.05,109,"59 mph",28.5,104.4,4.93,11.55,79.3,33,21.0
"Kolton Browning",QB,7.18,108,-,29.5,105.6,4.94,11.71,79.9,-,21.9
"Kory Faulkner",QB,7.26,115,-,32.0,113.5,4.75,11.66,93.9,-,23.1
"Kurt Benkert",QB,7.15,112,"56 mph",31.0,110.3,4.95,11.48,87.3,37,21.1
"Kyle Allen",QB,-,113,-,28.5,106.4,4.76,-,90.7,-,18.5
"Kyle Kempt",QB,7.26,113,-,27.0,103.8,4.96,11.77,78.1,-,22.8
"Kyle Lauletta",QB,6.95,113,"52 mph",31.0,110.8,4.81,11.02,100.5,29,-
"Kyle Orton",QB,7.39,-,-,26.5,98.1,5.06,11.93,75.7,27,21.8
"Kyle Shurmer",QB,7.51,106,"51 mph",29.5,104.6,4.91,12.04,82.6,-,-
"Kyle Sloter",QB,7.53,109,"58 mph",30.5,107.9,4.84,12.14,80.8,38,-
"Kyler Murray",QB,-,-,-,-,-,-,-,-,20,21.1
"Lamar Jackson",QB,-,-,"49 mph",-,-,-,-,-,13,18.7
"Lamar Raynard",QB,6.91,116,-,30.0,110.5,4.94,11.22,84.3,-,-
"Landry Jones",QB,7.12,115,"53 mph",31.0,111.8,5.11,11.42,85.7,28,21.4
"Logan Kilgore",QB,6.99,108,-,31.0,108.3,4.94,11.25,88.8,-,21.3
"Logan Woodside",QB,6.94,103,"52 mph",31.5,106.6,4.79,11.09,95.7,-,20.8
"Luis Perez",QB,7.10,-,-,-,-,5.02,11.47,-,-,-
"Luke Falk",QB,-,103,"52 mph",26.5,97.9,-,-,-,29,19.7
"Luke McCown",QB,6.75,125,-,37.5,128.1,4.71,11.03,102.0,24,19.2
"Malik Zaire",QB,7.18,108,-,28.5,103.9,4.99,11.59,82.1,-,-
"Marcus Mariota",QB,6.87,121,"56 mph",36.0,123.5,4.52,10.98,115.4,33,18.9
"Marcus McMaryion",QB,-,110,-,35.0,116.3,4.81,-,94.3,-,21.3
"Mark Sanchez",QB,7.06,116,"55 mph",32.5,114.9,4.88,11.27,96.2,28,21.8
"Marquise Williams",QB,7.00,111,-,32.5,112.4,4.86,11.37,90.2,-,20.9
"Mason Rudolph",QB,-,107,"52 mph",26.0,99.0,4.90,-,78.7,28,20.1
"Matt Barkley",QB,-,-,-,-,-,4.95,11.98,45.4,30,20.0
"Matt Blanchard",QB,6.74,110,-,30.5,108.4,4.74,10.99,96.3,-,21.5
"Matt Cassel",QB,7.20,115,-,34.0,117.0,4.93,11.26,102.4,-,-
"Matt Flynn",QB,7.21,109,"50 mph",28.0,103.5,4.79,11.55,89.9,38,22.2
"Matt Hasselbeck",QB,-,-,-,-,-,-,-,-,29,-
"Matt McGloin",QB,7.00,108,-,28.0,103.0,4.91,11.29,84.8,-,22.8
"Matt Moore",QB,7.25,101,-,26.0,96.0,4.97,11.71,76.7,-,22.1
"Matt Ryan",QB,7.40,-,-,-,-,4.89,11.91,48.4,32,20.3
"Matt Schaub",QB,7.65,110,-,30.5,108.4,5.04,12.31,79.4,30,21.2
"Matt Simms",QB,7.14,108,-,29.5,105.6,4.77,11.56,86.6,-,-
"Matthew Stafford",QB,7.06,107,-,30.5,106.9,4.81,11.53,87.5,38,19.6
"McLeod Bethel-Thompson",QB,-,-,-,-,-,5.09,-,-,-,-
"Michael Vick",QB,-,-,-,38.0,128.8,4.38,-,-,20,19.2
"Mike Bercovici",QB,6.82,106,-,28.0,102.0,4.89,11.09,85.4,-,22.6
"Mike Glennon",QB,7.49,102,"49 mph",26.5,97.4,4.94,12.01,77.7,26,21.7
"Mike Kafka",QB,6.96,110,"52 mph",32.0,111.0,4.93,11.33,88.8,35,22.1
"Mike White",QB,7.40,96,"54 mph",27.0,95.3,5.09,11.80,78.2,27,21.5
"Mitch Leidner",QB,6.96,123,"53 mph",34.5,121.9,4.93,11.21,95.7,-,19.6
"Mitchell Trubisky",QB,6.87,116,"55 mph",27.5,106.1,4.67,11.12,94.7,25,21.0
"Nate Sudfeld",QB,7.42,105,"54 mph",29.0,103.3,4.98,11.90,82.2,28,19.9
"Nathan Peterman",QB,7.14,110,"53 mph",31.0,109.3,4.82,11.45,92.7,33,21.3
"Nic Shimonek",QB,7.28,101,"55 mph",28.5,100.4,4.88,11.60,87.5,-,23.0
"Nick Fitzgerald",QB,-,115,"54 mph",29.5,109.1,4.64,-,-,-,20.6
"Nick Foles",QB,7.14,112,"57 mph",30.5,109.4,5.14,11.82,77.0,29,20.6
"Nick Mullens",QB,7.40,104,-,31.0,106.3,4.95,11.87,82.6,-,20.5
"Nick Stevens",QB,7.70,97,-,22.5,87.9,5.17,12.47,59.7,-,20.6
"Pat Devlin",QB,7.08,116,"56 mph",33.0,115.8,4.86,11.40,93.4,27,21.4
"Patrick Mahomes",QB,6.88,114,"60 mph",30.0,109.5,4.80,10.96,99.8,24,19.0
"Paxton Lynch",QB,7.14,118,"59 mph",36.0,122.0,4.86,11.40,101.7,18,20.6
"Peter Pujals",QB,6.90,116,-,38.0,124.5,4.65,11.00,111.7,-,-
"Peyton Manning",QB,-,-,-,-,-,4.90,-,-,28,19.5
"Philip Rivers",QB,-,116,-,33.0,115.8,5.12,-,-,30,18.7
"Phillip Walker",QB,6.90,111,-,29.5,107.1,4.79,11.30,87.3,-,18.5
"Richard Lagow",QB,7.63,-,-,-,-,5.07,12.37,-,-,22.0
"Ricky Stanzi",QB,6.95,110,"50 mph",32.5,111.9,4.93,11.38,87.3,30,23.0
"Riley Ferguson",QB,6.96,110,"53 mph",29.0,105.8,4.98,11.36,81.1,21,21.6
"Robert Griffin III",QB,-,120,-,39.0,128.3,4.41,-,-,24,18.6
"Russell Wilson",QB,6.97,118,"56 mph",34.0,118.5,4.55,11.06,109.9,28,19.8
"Ryan Finley",QB,7.20,116,"53 mph",30.5,111.4,4.73,11.40,96.5,43,21.7
"Ryan Fitzpatrick",QB,7.09,105,-,30.5,105.9,4.86,11.16,100.0,48,20.8
"Ryan Griffin",QB,7.62,101,-,25.5,95.1,5.15,12.37,63.6,-,22.8
"Ryan Higgins",QB,7.13,111,-,28.0,104.5,4.79,11.72,79.9,-,-
"Ryan Lindley",QB,7.52,108,"52 mph",29.5,105.6,4.90,11.97,84.9,35,20.2
"Ryan Mallett",QB,-,103,"58 mph",24.0,93.5,5.24,-,-,26,21.3
"Ryan Nassib",QB,7.34,105,"56 mph",28.5,102.4,5.06,11.87,77.5,41,21.5
"Ryan Tannehill",QB,-,-,-,-,-,4.70,-,-,34,22.1
"Sam Bradford",QB,-,-,-,-,-,4.79,-,-,36,19.8
"Sam Darnold",QB,6.96,105,-,26.5,98.9,4.85,11.36,82.9,28,19.3
"Scott Tolzien",QB,6.84,116,"55 mph",29.5,109.6,4.93,10.96,92.1,38,22.0
"Sean Maguire",QB,7.53,99,-,24.0,91.5,5.29,12.19,63.7,-,-
"Sean Mannion",QB,7.29,105,"57 mph",31.0,106.8,5.14,11.68,83.0,40,20.4
"Sean Renfree",QB,-,-,-,-,-,4.81,-,-,-,22.4
"Sefo Liufau",QB,7.32,105,"45 mph",27.0,99.8,5.08,11.77,78.2,-,18.9
"Seneca Wallace",QB,6.98,127,-,38.0,130.0,4.56,11.12,111.1,12,21.1
"Seth Lobato",QB,7.07,107,-,28.5,103.4,4.97,11.57,80.4,-,20.8
"Seth Russell",QB,-,-,"51 mph",-,-,-,-,-,-,21.6
"Shane Carden",QB,7.17,104,"52 mph",29.5,103.6,4.94,11.62,82.2,25,20.8
"Shaun Hill",QB,-,-,-,-,-,4.75,-,-,-,21.7
"Stephen Morris",QB,7.36,111,"59 mph",30.0,108.0,4.63,11.85,90.6,-,20.0
"T.J. Yates",QB,6.96,104,-,29.5,103.6,5.10,11.08,89.3,-,23.3
"Tajh Boyd",QB,7.33,106,"54 mph",30.5,106.4,4.84,11.56,93.5,-,20.9
"Tanner Lee",QB,7.00,115,"57 mph",32.0,113.5,4.98,11.41,85.3,26,22.6
"Tarvaris Jackson",QB,7.41,107,"57 mph",31.5,108.6,4.69,11.81,94.7,19,20.4
"Taylor Cornelius",QB,7.06,119,-,38.0,126.0,4.77,11.39,101.5,-,23.0
"Taylor Heinicke",QB,6.96,123,-,35.0,122.8,4.67,11.17,103.6,-,19.5
"Taysom Hill",QB,7.03,122,-,38.5,128.4,4.51,11.40,110.1,17,23.0
"Teddy Bridgewater",QB,7.17,113,-,30.0,109.0,4.84,11.37,92.6,20,18.8
"Thaddeus Lewis",QB,-,107,-,28.0,102.5,4.84,-,-,-,20.8
"Tom Brady",QB,7.20,99,-,24.5,92.4,5.28,11.58,70.5,33,21.1
"Tom Savage",QB,7.33,105,"57 mph",27.0,99.8,4.97,11.69,82.6,-,23.4
"Tommy Armstrong",QB,6.76,123,-,37.5,127.1,4.62,10.87,112.4,-,19.8
"Tommy Rees",QB,7.32,105,-,31.0,106.8,5.16,11.77,78.1,-,19.3
"Tony Romo",QB,7.11,105,-,30.0,105.0,5.01,11.31,90.7,30,20.4
"Trace McSorley",QB,7.09,115,"53 mph",33.0,115.3,4.57,11.21,106.5,31,21.0
"Travis Partridge",QB,7.12,112,-,30.0,108.5,4.86,11.53,88.6,-,21.0
"Travis Wilson",QB,7.05,112,-,31.5,111.1,4.88,11.30,94.4,-,19.7
"Trent Edwards",QB,7.14,108,-,30.0,106.5,4.76,11.60,89.6,31,21.9
"Trevone Boykin",QB,-,110,"55 mph",32.0,111.0,4.77,-,90.5,-,19.0
"Trevor Knight",QB,7.04,125,"54 mph",35.5,124.6,4.54,11.18,112.5,30,20.9
"Trevor Siemian",QB,-,-,-,-,-,4.99,-,-,-,21.7
"Tyler Bray",QB,7.20,100,"59 mph",27.0,97.3,5.05,11.71,77.1,24,18.7
"Tyler Ferguson",QB,7.62,111,-,31.5,110.6,5.16,12.27,75.6,-,-
"Tyler Wilson",QB,7.22,112,"55 mph",28.5,105.9,4.95,11.61,82.0,20,22.1
"Tyree Jackson",QB,7.09,120,"54 mph",34.5,120.4,4.59,11.37,109.1,25,19.8
"Tyrod Taylor",QB,6.78,126,"50 mph",37.5,128.6,4.51,10.87,117.4,15,20.1
"Vernon Adams",QB,6.82,114,"53 mph",29.5,108.6,4.83,11.02,90.3,-,22.7
"Wes Lunt",QB,7.28,109,-,29.5,106.1,4.92,11.72,83.6,-,20.9
"Will Grier",QB,7.09,112,"59 mph",34.0,115.5,4.84,11.37,95.2,30,22.4
"Zac Dysert",QB,-,-,"59 mph",-,-,4.86,-,-,24,21.6
"Zac Robinson",QB,7.24,110,"52 mph",35.0,116.3,4.71,11.64,96.3,37,20.9
"Zach Mettenberger",QB,-,-,-,-,-,5.23,-,-,-,22.1
"Zach Terrell",QB,7.36,101,-,28.5,100.4,5.07,11.77,78.3,-,21.4
"Zach Zulli",QB,7.39,108,-,26.5,100.4,4.95,11.98,72.3,-,20.4
