Player,Position,Team,Year,Years_of_Experience,Consensus_Passing_Yards,Consensus_Passing_Touchdowns,Consensus_Rushing_Yards,Consensus_Rushing_Touchdowns,Consensus_Projected_Points,Projected_Points_Vs_Avg_Experience,Position_Rank,Consensus_Receiving_Yards,Consensus_Receptions,ADP_NFFC,VOR_ADP,Predicted_PPG_Mark,Predicted_PPG_Next_Year_Mark,Predicted_Breakout_Mark,Predicted_TopValue_Mark,Max_Score_Mark,VOR_Current_Year,VOR_Consensus,VOR_Top_Value,VOR_Average
Ja'Marr Chase,WR,CIN,2025.0,4.0,0.0,0.0,11.87,0.03,18.142,172.563,1.0,1508.61,118.6,1.145,5.919,21.705,21.059,0.297,0.526,27.942,10.984,8.814,2.334,7.013
Bijan Robinson,RB,ATL,2025.0,2.0,0.0,0.0,1355.5,11.59,18.836,174.144,1.0,418.66,56.11,2.427,5.823,18.684,17.166,0.158,0.363,26.853,7.467,8.431,1.278,5.75
Justin Jefferson,WR,MIN,2025.0,5.0,0.0,0.0,2.03,0.0,15.734,123.249,2.0,1402.35,102.56,4.545,5.538,19.84,19.382,0.188,0.444,27.173,9.118,6.407,1.929,5.748
Puka Nacua,WR,LAR,2025.0,2.0,0.0,0.0,66.7,0.54,15.404,143.8,4.0,1376.35,107.61,9.618,5.077,19.873,19.419,0.354,0.578,26.347,9.152,6.077,2.597,5.726
Malik Nabers,WR,NYG,2025.0,1.0,0.0,0.0,11.73,0.05,14.631,146.267,7.0,1271.04,103.37,8.848,5.168,20.161,19.893,0.394,0.59,26.049,9.44,5.304,2.659,5.643
Jahmyr Gibbs,RB,DET,2025.0,2.0,0.0,0.0,1210.16,11.77,18.595,170.284,2.0,479.03,57.17,4.01,5.632,18.547,17.306,0.173,0.378,27.56,7.33,8.19,1.354,5.627
Saquon Barkley,RB,PHI,2025.0,7.0,0.0,0.0,1603.63,11.2,18.811,167.16,3.0,289.64,38.61,3.67,5.632,18.321,16.568,0.146,0.303,25.375,7.104,8.406,0.981,5.531
Ceedee Lamb,WR,DAL,2025.0,5.0,0.0,0.0,58.6,0.27,14.975,111.099,3.0,1273.18,102.95,5.962,5.445,19.205,18.414,0.186,0.441,26.66,8.484,5.647,1.912,5.372
Brian Thomas,WR,JAC,2025.0,1.0,0.0,0.0,36.71,0.06,14.447,143.317,6.0,1244.6,90.67,11.662,4.897,18.513,18.828,0.301,0.496,26.279,7.792,5.119,2.188,4.999
Ashton Jeanty,RB,LVR,2025.0,0.0,0.0,0.0,1240.6,9.14,16.479,176.789,8.0,372.16,47.39,9.402,5.168,18.221,17.032,0.192,0.397,26.758,7.004,6.074,1.451,4.924
Amon Ra St Brown,WR,DET,2025.0,4.0,0.0,0.0,18.34,0.1,14.339,111.723,5.0,1197.72,100.93,9.382,5.168,18.389,18.13,0.202,0.404,26.902,7.668,5.012,1.726,4.894
Christian Mccaffrey,RB,SF,2025.0,8.0,0.0,0.0,1070.8,8.04,16.641,140.839,5.0,516.52,60.16,13.16,4.808,17.663,15.828,0.125,0.305,24.61,6.445,6.236,0.988,4.619
Derrick Henry,RB,BAL,2025.0,8.0,0.0,0.0,1531.04,13.16,17.571,155.719,4.0,176.5,20.49,13.272,4.808,16.599,16.198,0.157,0.299,24.856,5.381,7.166,0.961,4.579
Devon Achane,RB,MIA,2025.0,2.0,0.0,0.0,941.47,7.12,16.251,132.784,7.0,526.78,70.22,13.645,4.72,17.634,16.321,0.15,0.3,25.567,6.416,5.846,0.965,4.487
Nico Collins,WR,HOU,2025.0,4.0,0.0,0.0,1.0,0.01,14.506,114.393,8.0,1281.97,89.21,13.348,4.808,16.928,16.331,0.15,0.308,24.8,6.207,5.179,1.244,4.36
Ladd Mcconkey,WR,LAC,2025.0,1.0,0.0,0.0,0.75,0.0,13.552,128.997,10.0,1209.0,90.98,19.845,4.203,17.409,17.641,0.291,0.424,25.871,6.688,4.224,1.829,4.236
Drake London,WR,ATL,2025.0,3.0,0.0,0.0,1.49,0.02,13.538,104.056,12.0,1161.98,92.58,16.238,4.545,16.238,16.304,0.141,0.308,24.241,5.517,4.21,1.248,3.88
Brock Bowers,TE,LVR,2025.0,1.0,0.0,0.0,3.94,0.0,12.156,121.801,1.0,1056.52,98.87,17.13,4.459,14.013,12.892,0.219,0.324,20.481,5.207,4.606,1.014,3.821
Josh Jacobs,RB,GB,2025.0,6.0,0.0,0.0,1201.01,11.24,16.169,123.403,6.0,316.94,38.21,22.462,4.036,15.819,15.452,0.12,0.269,23.129,4.602,5.764,0.81,3.803
Bucky Irving,RB,TB,2025.0,1.0,0.0,0.0,1164.28,8.49,15.549,149.858,9.0,369.13,47.77,19.588,4.203,15.993,15.023,0.143,0.317,24.157,4.776,5.144,1.049,3.793
Josh Allen,QB,BUF,2025.0,7.0,3752.92,27.91,537.45,9.49,22.658,157.83,1.0,0.0,0.0,28.625,3.469,23.758,23.758,0.163,0.25,26.814,5.247,5.785,0.605,3.776
Aj Brown,WR,PHI,2025.0,6.0,0.0,0.0,0.0,0.0,13.454,85.745,14.0,1192.04,81.67,19.77,4.203,15.88,15.668,0.135,0.282,24.099,5.159,4.127,1.116,3.651
Lamar Jackson,QB,BAL,2025.0,7.0,3733.16,29.28,821.71,3.78,21.988,147.11,2.0,0.0,0.0,27.442,3.628,23.579,23.579,0.149,0.255,26.145,5.068,5.115,0.631,3.611
Jonathan Taylor,RB,IND,2025.0,5.0,0.0,0.0,1321.98,10.02,15.2,103.269,10.0,189.46,26.84,21.938,4.036,15.643,15.168,0.127,0.281,23.413,4.426,4.795,0.869,3.531
Tee Higgins,WR,CIN,2025.0,5.0,0.0,0.0,0.11,0.0,13.134,81.639,9.0,1063.75,84.01,29.505,3.39,16.039,16.335,0.212,0.326,25.7,5.318,3.806,1.339,3.463
Trey Mcbride,TE,ARI,2025.0,3.0,0.0,0.0,0.4,0.18,12.085,97.938,3.0,1028.23,102.3,25.393,3.789,13.208,11.715,0.213,0.334,20.071,4.402,4.535,1.062,3.447
Rashee Rice,WR,KC,2025.0,2.0,0.0,0.0,7.02,0.06,12.683,100.26,16.0,1065.15,94.09,35.635,2.931,15.772,15.854,0.232,0.35,25.219,5.051,3.356,1.457,3.199
Jayden Daniels,QB,WAS,2025.0,1.0,3738.84,25.33,806.25,5.32,20.83,194.004,5.0,0.0,0.0,35.215,3.006,23.513,23.513,0.152,0.229,26.024,5.002,3.957,0.5,3.116
Chase Brown,RB,CIN,2025.0,2.0,0.0,0.0,987.06,7.81,14.679,107.634,13.0,366.79,51.5,27.372,3.628,14.744,13.758,0.134,0.306,23.016,3.526,4.274,0.996,3.106
Davante Adams,WR,LAR,2025.0,9.0,0.0,0.0,0.58,0.0,12.745,66.812,17.0,1065.71,84.17,36.662,2.856,15.449,15.272,0.144,0.29,24.349,4.728,3.417,1.156,3.039
Jalen Hurts,QB,PHI,2025.0,5.0,3415.74,22.28,626.55,11.65,21.049,166.477,3.0,0.0,0.0,42.542,2.42,23.618,23.618,0.128,0.212,28.885,5.107,4.177,0.415,3.03
Kyren Williams,RB,LAR,2025.0,3.0,0.0,0.0,1185.61,10.81,15.202,114.952,11.0,207.28,32.22,26.932,3.628,13.731,12.445,0.124,0.292,21.848,2.514,4.797,0.926,2.966
Tyreek Hill,WR,MIA,2025.0,9.0,0.0,0.0,38.55,0.1,12.901,69.302,13.0,1104.29,86.62,33.375,3.158,14.8,14.204,0.121,0.244,22.986,4.078,3.573,0.924,2.933
Jaxon Smith Njigba,WR,SEA,2025.0,2.0,0.0,0.0,21.27,0.06,12.155,91.81,18.0,1053.91,87.87,27.31,3.628,15.0,14.991,0.194,0.257,23.821,4.279,2.827,0.992,2.932
Garrett Wilson,WR,NYJ,2025.0,3.0,0.0,0.0,9.76,0.02,12.204,82.726,21.0,1065.88,91.49,27.042,3.628,14.765,14.468,0.156,0.271,23.726,4.044,2.877,1.063,2.903
Marvin Harrison,WR,ARI,2025.0,1.0,0.0,0.0,0.08,0.0,12.058,105.087,19.0,1024.95,75.71,34.525,3.006,15.278,15.817,0.234,0.309,24.488,4.557,2.73,1.253,2.886
George Kittle,TE,SF,2025.0,8.0,0.0,0.0,0.08,0.0,11.468,66.676,2.0,994.57,71.21,46.128,2.21,12.822,11.825,0.242,0.362,20.653,4.016,3.918,1.201,2.836
Breece Hall,RB,NYJ,2025.0,3.0,0.0,0.0,982.56,5.71,13.724,91.312,14.0,406.58,50.66,32.632,3.158,14.953,14.856,0.123,0.28,22.813,3.736,3.319,0.866,2.77
Terry Mclaurin,WR,WAS,2025.0,6.0,0.0,0.0,4.05,0.01,12.811,75.455,15.0,1078.63,80.14,35.842,2.931,13.805,13.439,0.107,0.18,21.6,3.084,3.484,0.606,2.526
James Cook,RB,BUF,2025.0,3.0,0.0,0.0,1023.29,10.19,14.379,101.792,12.0,267.97,32.46,37.718,2.782,13.742,13.432,0.122,0.258,21.452,2.524,3.974,0.755,2.509
Xavier Worthy,WR,KC,2025.0,1.0,0.0,0.0,85.18,1.17,11.173,90.937,27.0,832.99,67.99,47.01,2.141,15.336,15.544,0.283,0.33,25.047,4.615,1.846,1.357,2.489
Mike Evans,WR,TB,2025.0,9.0,0.0,0.0,1.84,0.0,12.948,70.052,11.0,1049.95,77.04,40.228,2.636,13.67,13.3,0.115,0.187,21.741,2.949,3.62,0.64,2.461
Joe Burrow,QB,CIN,2025.0,5.0,4459.57,35.21,180.54,1.71,20.436,156.667,4.0,0.0,0.0,34.798,3.006,20.778,20.778,0.175,0.222,25.508,2.267,3.564,0.466,2.326
Omarion Hampton,RB,LAC,2025.0,0.0,0.0,0.0,933.12,7.94,12.548,113.899,19.0,249.76,34.05,47.135,2.141,14.89,15.221,0.165,0.28,23.096,3.673,2.143,0.865,2.205
Kenneth Walker,RB,SEA,2025.0,3.0,0.0,0.0,920.88,8.37,13.339,85.142,18.0,313.73,44.3,44.57,2.279,13.865,13.434,0.106,0.271,21.453,2.648,2.934,0.821,2.17
Alvin Kamara,RB,NO,2025.0,8.0,0.0,0.0,868.77,5.41,13.322,87.739,17.0,460.04,60.14,48.545,2.004,14.331,13.875,0.103,0.235,21.293,3.114,2.917,0.638,2.168
Dj Moore,WR,CHI,2025.0,7.0,0.0,0.0,56.06,0.16,11.836,54.453,25.0,1001.24,84.94,41.707,2.492,13.434,12.805,0.116,0.161,21.36,2.713,2.509,0.512,2.056
Joe Mixon,RB,HOU,2025.0,8.0,0.0,0.0,958.58,8.62,13.428,89.439,15.0,293.5,38.26,50.39,1.936,13.615,13.634,0.123,0.263,21.814,2.398,3.023,0.777,2.034
Devonta Smith,WR,PHI,2025.0,4.0,0.0,0.0,0.92,0.0,11.405,64.773,24.0,958.79,77.58,52.11,1.803,13.781,13.852,0.159,0.205,22.458,3.06,2.077,0.733,1.918
Dk Metcalf,WR,PIT,2025.0,6.0,0.0,0.0,0.08,0.0,12.151,64.895,20.0,1062.23,74.82,48.795,2.004,12.996,12.295,0.11,0.14,20.845,2.275,2.824,0.406,1.877
James Conner,RB,ARI,2025.0,8.0,0.0,0.0,989.3,7.78,13.306,87.489,16.0,305.01,39.81,56.985,1.478,13.401,13.284,0.098,0.232,20.751,2.184,2.901,0.626,1.797
Chuba Hubbard,RB,CAR,2025.0,4.0,0.0,0.0,1051.98,7.98,13.136,75.879,22.0,226.36,37.29,45.605,2.21,12.725,12.292,0.095,0.231,20.339,1.508,2.731,0.618,1.767
Zay Flowers,WR,BAL,2025.0,2.0,0.0,0.0,49.86,0.16,11.501,81.34,22.0,1010.1,75.67,53.362,1.737,13.111,12.551,0.134,0.142,21.507,2.39,2.173,0.414,1.679
Sam Laporta,TE,DET,2025.0,2.0,0.0,0.0,0.17,0.0,9.792,64.061,4.0,755.15,68.48,62.265,1.166,11.162,10.728,0.179,0.281,18.472,2.356,2.242,0.797,1.64
Courtland Sutton,WR,DEN,2025.0,7.0,0.0,0.0,0.33,0.0,11.648,51.443,23.0,976.55,75.09,48.798,2.004,12.242,11.422,0.146,0.155,22.218,1.521,2.321,0.481,1.581
Patrick Mahomes,QB,KC,2025.0,8.0,4082.97,28.91,325.03,1.89,18.721,131.064,6.0,0.0,0.0,60.175,1.289,20.991,20.991,0.143,0.218,25.138,2.48,1.849,0.444,1.516
Travis Hunter,WR,JAC,2025.0,0.0,0.0,0.0,17.56,0.1,10.369,94.045,37.0,903.22,71.51,78.125,0.247,14.397,14.83,0.31,0.225,22.873,3.675,1.042,0.833,1.449
Tetairoa Mcmillan,WR,CAR,2025.0,0.0,0.0,0.0,4.61,0.0,10.412,94.735,54.0,909.75,72.53,57.777,1.415,13.325,14.258,0.232,0.191,22.457,2.604,1.085,0.663,1.442
Jaylen Waddle,WR,MIA,2025.0,4.0,0.0,0.0,14.36,0.08,10.853,55.943,34.0,986.34,77.69,67.275,0.866,13.022,12.748,0.114,0.153,20.974,2.301,1.526,0.472,1.291
Jerry Jeudy,WR,CLE,2025.0,5.0,0.0,0.0,2.18,0.01,10.85,45.099,31.0,1041.8,77.71,60.473,1.289,12.227,11.605,0.14,0.132,21.337,1.505,1.522,0.365,1.171
Jameson Williams,WR,DET,2025.0,3.0,0.0,0.0,72.37,0.86,11.189,66.476,29.0,951.73,61.77,54.438,1.671,11.63,11.375,0.165,0.093,20.847,0.909,1.861,0.172,1.153
Rj Harvey,RB,DEN,2025.0,0.0,0.0,0.0,787.88,5.09,11.159,91.679,31.0,312.0,41.68,79.712,0.14,14.11,14.264,0.176,0.219,22.12,2.893,0.754,0.558,1.086
Travis Kelce,TE,KC,2025.0,10.0,0.0,0.0,0.34,0.0,9.095,34.901,6.0,729.61,75.35,87.09,-0.22,10.952,10.192,0.216,0.287,18.958,2.146,1.545,0.828,1.075
Jordan Addison,WR,MIN,2025.0,2.0,0.0,0.0,9.8,0.16,10.722,68.89,28.0,891.11,69.3,72.05,0.578,12.629,12.266,0.226,0.131,22.407,1.908,1.395,0.362,1.06
Quinshon Judkins,RB,CLE,2025.0,0.0,0.0,0.0,863.55,5.7,10.673,83.899,25.0,223.77,30.65,72.928,0.521,13.688,12.35,0.182,0.26,22.054,2.471,0.268,0.762,1.006
Calvin Ridley,WR,TEN,2025.0,7.0,0.0,0.0,39.21,0.24,11.001,41.083,26.0,979.34,67.47,70.617,0.634,11.787,11.041,0.152,0.12,21.771,1.066,1.673,0.309,0.921
George Pickens,WR,DAL,2025.0,3.0,0.0,0.0,4.37,0.02,10.416,54.106,32.0,933.64,64.48,67.418,0.866,12.105,11.378,0.147,0.106,20.874,1.384,1.088,0.238,0.894
Baker Mayfield,QB,TB,2025.0,7.0,4056.45,30.79,270.26,2.08,18.591,92.76,7.0,0.0,0.0,69.402,0.749,19.196,19.196,0.173,0.209,24.7,0.685,1.718,0.402,0.889
Aaron Jones,RB,MIN,2025.0,8.0,0.0,0.0,904.03,4.49,12.082,67.909,21.0,341.9,46.7,71.472,0.634,12.192,11.548,0.099,0.138,18.877,0.975,1.678,0.153,0.86
Rome Odunze,WR,CHI,2025.0,1.0,0.0,0.0,9.64,0.01,9.484,63.907,38.0,848.41,63.55,67.908,0.807,12.847,12.984,0.285,0.124,22.825,2.126,0.156,0.326,0.854
Treveyon Henderson,RB,NE,2025.0,0.0,0.0,0.0,762.72,5.0,10.264,77.349,30.0,255.4,33.33,60.288,1.289,12.958,14.1,0.167,0.176,20.693,1.741,-0.141,0.346,0.809
D'Andre Swift,RB,CHI,2025.0,5.0,0.0,0.0,943.77,6.07,12.449,59.259,20.0,314.95,41.95,75.108,0.41,11.734,10.564,0.089,0.107,17.902,0.517,2.044,0.0,0.743
Chris Godwin,WR,TB,2025.0,8.0,0.0,0.0,5.89,0.05,10.392,29.095,35.0,885.78,75.96,66.792,0.866,11.485,10.764,0.117,0.094,20.005,0.764,1.064,0.177,0.718
Mark Andrews,TE,BAL,2025.0,7.0,0.0,0.0,4.57,0.03,9.071,34.573,5.0,680.09,56.24,94.81,-0.607,10.232,9.888,0.206,0.227,18.022,1.426,1.521,0.53,0.718
Tj Hockenson,TE,MIN,2025.0,6.0,0.0,0.0,0.0,0.0,8.654,32.097,8.0,734.03,70.59,82.023,0.035,10.231,9.972,0.138,0.155,16.342,1.425,1.104,0.168,0.683
David Montgomery,RB,DET,2025.0,6.0,0.0,0.0,794.22,9.21,11.984,56.453,23.0,259.36,32.99,64.388,1.044,11.217,11.098,0.104,0.107,18.256,0.0,1.579,0.002,0.656
Chris Olave,WR,NO,2025.0,3.0,0.0,0.0,2.62,0.0,9.991,47.306,40.0,925.2,73.32,70.652,0.634,11.832,11.43,0.139,0.095,20.618,1.111,0.663,0.183,0.648
Tony Pollard,RB,TEN,2025.0,6.0,0.0,0.0,984.08,5.77,11.692,51.783,24.0,233.12,37.04,77.328,0.301,11.391,10.897,0.105,0.121,18.474,0.173,1.288,0.069,0.458
Jakobi Meyers,WR,LVR,2025.0,7.0,0.0,0.0,10.06,0.06,10.604,34.743,30.0,922.07,78.74,79.61,0.14,10.975,10.112,0.098,0.058,18.77,0.253,1.277,-0.002,0.417
Kaleb Johnson,RB,PIT,2025.0,0.0,0.0,0.0,907.46,6.21,10.576,82.349,28.0,171.72,22.51,69.598,0.691,11.874,12.056,0.139,0.127,19.139,0.656,0.171,0.101,0.405
Deebo Samuel,WR,WAS,2025.0,6.0,0.0,0.0,141.92,1.35,10.365,36.315,33.0,779.42,64.08,84.255,-0.068,11.058,10.751,0.174,0.085,21.357,0.337,1.037,0.131,0.359
Bo Nix,QB,DEN,2025.0,1.0,3609.05,25.64,398.36,2.83,17.531,141.214,9.0,0.0,0.0,77.398,0.301,18.546,18.546,0.124,0.116,22.778,0.035,0.658,-0.067,0.232
