Player,Position,Team,Year,Years_of_Experience,Consensus_Passing_Yards,Consensus_Passing_Touchdowns,Consensus_Rushing_Yards,Consensus_Rushing_Touchdowns,Consensus_Projected_Points,Projected_Points_Vs_Avg_Experience,Position_Rank,Consensus_Receiving_Yards,Consensus_Receptions,ADP_NFFC,VOR_ADP,Predicted_PPG_Mark,Predicted_PPG_Next_Year_Mark,Predicted_Breakout_Mark,Predicted_TopValue_Mark,Max_Score_Mark,VOR_Current_Year,VOR_Consensus,VOR_Top_Value,VOR_Average
Ray Davis,RB,BUF,2025.0,1.0,0.0,0.0,440.52,2.92,5.666,-8.282,53.0,120.05,13.89,142.448,-2.425,8.061,8.927,0.092,0.046,15.729,-3.156,-4.739,-0.307,-2.657
Michael Wilson,WR,ARI,2025.0,2.0,0.0,0.0,5.15,0.03,6.7,4.53,65.0,571.66,46.15,235.89,-4.713,7.629,7.269,0.04,0.01,14.791,-3.092,-2.628,-0.244,-2.669
Trey Benson,RB,ARI,2025.0,1.0,0.0,0.0,506.23,2.91,5.704,-7.662,62.0,106.94,13.94,141.972,-2.425,7.789,8.165,0.087,0.043,15.661,-3.429,-4.701,-0.32,-2.718
Isaac Guerendo,RB,SF,2025.0,1.0,0.0,0.0,455.14,3.47,5.674,-8.152,48.0,118.47,13.47,134.522,-2.197,7.363,7.838,0.069,0.038,15.051,-3.855,-4.731,-0.346,-2.782
Joshua Palmer,WR,BUF,2025.0,4.0,0.0,0.0,0.42,0.0,5.676,-26.897,71.0,502.79,37.49,205.258,-4.051,7.125,6.524,0.031,0.013,13.983,-3.596,-3.652,-0.226,-2.881
Rico Dowdle,RB,CAR,2025.0,3.0,0.0,0.0,453.65,2.45,5.665,-37.638,46.0,124.22,18.15,152.315,-2.73,7.21,6.922,0.066,0.036,14.917,-4.008,-4.74,-0.355,-2.958
Alec Pierce,WR,IND,2025.0,3.0,0.0,0.0,0.11,0.0,5.944,-17.434,74.0,554.59,33.29,213.172,-4.224,6.687,6.357,0.035,0.008,13.888,-4.035,-3.383,-0.252,-2.974
Calvin Austin,WR,PIT,2025.0,3.0,0.0,0.0,4.07,0.02,6.598,-6.974,69.0,561.15,43.0,265.692,-5.379,7.021,6.556,0.036,0.008,14.114,-3.7,-2.729,-0.251,-3.015
Tyler Allgeier,RB,ATL,2025.0,3.0,0.0,0.0,557.79,3.35,6.174,-29.498,47.0,101.52,14.16,159.475,-2.931,6.326,6.476,0.057,0.034,14.491,-4.891,-4.231,-0.366,-3.105
Dylan Sampson,RB,CLE,2025.0,0.0,0.0,0.0,367.02,2.2,4.809,-9.921,58.0,124.22,17.27,159.932,-2.959,7.297,8.078,0.081,0.042,15.378,-3.92,-5.596,-0.328,-3.201
Braelon Allen,RB,NYJ,2025.0,1.0,0.0,0.0,383.74,2.6,5.287,-14.342,60.0,136.62,18.61,169.295,-3.2,7.003,7.402,0.058,0.033,14.634,-4.215,-5.118,-0.37,-3.226
Roschon Johnson,RB,CHI,2025.0,2.0,0.0,0.0,368.5,4.76,5.9,-32.836,50.0,124.28,18.35,192.325,-3.761,6.833,7.071,0.059,0.036,14.688,-4.384,-4.505,-0.354,-3.251
Deandre Hopkins,WR,BAL,2025.0,9.0,0.0,0.0,0.34,0.0,5.24,-53.268,79.0,422.48,32.2,212.705,-4.224,6.242,5.518,0.026,0.012,13.101,-4.479,-4.088,-0.236,-3.257
Jaylen Wright,RB,MIA,2025.0,1.0,0.0,0.0,391.96,2.48,4.703,-23.682,59.0,92.96,12.9,162.465,-3.014,7.187,7.755,0.067,0.038,14.808,-4.03,-5.702,-0.344,-3.272
Tyler Lockett,WR,TEN,2025.0,9.0,0.0,0.0,-0.13,0.0,6.095,-39.588,68.0,528.51,45.06,271.032,-5.498,6.582,5.824,0.028,0.012,13.387,-4.139,-3.233,-0.231,-3.275
Pat Bryant,WR,DEN,2025.0,0.0,0.0,0.0,0.0,0.0,4.273,-3.495,96.0,356.84,31.27,233.665,-4.67,7.405,8.642,0.094,0.017,15.781,-3.316,-5.054,-0.21,-3.313
Darius Slayton,WR,NYG,2025.0,6.0,0.0,0.0,3.94,0.01,5.824,-36.335,80.0,546.46,37.17,255.552,-5.149,6.26,5.654,0.025,0.011,13.044,-4.462,-3.503,-0.237,-3.338
Andrei Iosivas,WR,CIN,2025.0,2.0,0.0,0.0,0.04,0.0,5.416,-16.01,95.0,425.92,35.16,243.785,-4.885,6.41,6.024,0.032,0.007,13.416,-4.312,-3.911,-0.257,-3.341
Tutu Atwell,WR,LAR,2025.0,4.0,0.0,0.0,7.68,0.03,5.779,-25.237,78.0,534.23,42.64,270.752,-5.498,6.626,6.07,0.025,0.012,13.413,-4.096,-3.548,-0.232,-3.343
Ray Ray Mccloud,WR,ATL,2025.0,4.0,0.0,0.0,54.14,0.17,5.819,-24.607,83.0,489.95,44.05,282.087,-5.772,6.737,6.086,0.026,0.012,13.522,-3.984,-3.509,-0.234,-3.375
Jerome Ford,RB,CLE,2025.0,3.0,0.0,0.0,402.7,2.38,5.556,-39.378,52.0,154.8,22.03,195.793,-3.852,6.611,6.848,0.06,0.035,14.493,-4.606,-4.849,-0.363,-3.417
Noah Brown,WR,WAS,2025.0,8.0,0.0,0.0,0.19,0.0,4.455,-65.895,93.0,402.9,32.35,,,5.51,4.959,0.023,0.011,12.469,-5.211,-4.873,-0.239,-3.441
Allen Lazard,WR,NYJ,2025.0,6.0,0.0,0.0,0.14,0.02,4.416,-58.865,76.0,379.32,28.48,,,5.388,4.84,0.023,0.01,12.356,-5.333,-4.911,-0.241,-3.495
Jalen Tolbert,WR,DAL,2025.0,3.0,0.0,0.0,0.0,0.0,5.232,-28.824,85.0,417.1,33.09,256.075,-5.149,6.222,5.868,0.032,0.007,13.206,-4.499,-4.095,-0.258,-3.5
Jalen Coker,WR,CAR,2025.0,1.0,0.0,0.0,1.14,0.0,4.444,-16.733,87.0,404.52,32.4,238.23,-4.756,6.528,6.531,0.034,0.008,13.789,-4.193,-4.884,-0.253,-3.521
Kareem Hunt,RB,KC,2025.0,8.0,0.0,0.0,317.97,3.29,5.134,-43.261,51.0,129.82,19.02,197.328,-3.874,6.665,6.584,0.058,0.026,13.084,-4.553,-5.271,-0.404,-3.525
Marquez Valdes Scantling,WR,SEA,2025.0,7.0,0.0,0.0,2.51,0.02,4.471,-63.387,82.0,405.86,24.7,,,5.155,4.608,0.022,0.01,12.164,-5.566,-4.856,-0.242,-3.555
Dyami Brown,WR,JAC,2025.0,4.0,0.0,0.0,3.39,0.0,5.201,-34.497,84.0,467.47,37.57,257.248,-5.172,6.03,5.495,0.024,0.011,12.903,-4.692,-4.127,-0.238,-3.557
Kavontae Turpin,WR,DAL,2025.0,2.0,0.0,0.0,76.26,0.34,4.12,-36.75,106.0,313.01,24.4,,,5.512,5.354,0.029,0.007,12.494,-5.209,-5.208,-0.261,-3.559
Jaylin Noel,WR,HOU,2025.0,0.0,0.0,0.0,2.1,0.0,4.209,-4.515,99.0,361.7,30.61,223.355,-4.437,6.24,6.8,0.053,0.011,13.769,-4.481,-5.118,-0.236,-3.568
Tre Tucker,WR,LVR,2025.0,2.0,0.0,0.0,38.86,0.3,5.056,-21.77,75.0,421.83,32.88,263.987,-5.332,6.224,5.912,0.03,0.007,13.198,-4.497,-4.271,-0.258,-3.59
Greg Dortch,WR,ARI,2025.0,3.0,0.0,0.0,24.98,0.08,3.766,-52.284,101.0,293.94,28.88,,,5.77,5.678,0.029,0.007,12.818,-4.951,-5.561,-0.259,-3.591
Justice Hill,RB,BAL,2025.0,6.0,0.0,0.0,203.07,0.94,4.822,-58.147,64.0,252.9,30.07,193.39,-3.783,6.458,6.212,0.071,0.044,13.147,-4.76,-5.583,-0.315,-3.61
Nick Chubb,RB,HOU,2025.0,7.0,0.0,0.0,441.82,3.22,4.796,-57.09,68.0,50.54,6.4,197.328,-3.874,6.624,6.728,0.062,0.026,13.328,-4.594,-5.609,-0.403,-3.62
Josh Reynolds,WR,NYJ,2025.0,8.0,0.0,0.0,0.0,0.0,4.208,-69.855,94.0,366.9,27.73,,,5.09,4.5,0.022,0.01,12.088,-5.631,-5.12,-0.242,-3.664
Dontayvion Wicks,WR,GB,2025.0,2.0,0.0,0.0,0.34,0.0,4.491,-30.82,90.0,364.76,29.07,247.758,-4.972,6.091,5.84,0.03,0.007,13.108,-4.63,-4.837,-0.258,-3.674
Adonai Mitchell,WR,IND,2025.0,1.0,0.0,0.0,14.68,0.08,4.318,-18.743,92.0,377.16,28.51,252.152,-5.06,6.338,6.365,0.035,0.007,13.488,-4.383,-5.009,-0.257,-3.677
Jordan Whittington,WR,LAR,2025.0,1.0,0.0,0.0,9.3,0.04,3.304,-34.973,86.0,287.13,24.22,,,5.888,5.952,0.028,0.007,12.861,-4.833,-6.024,-0.259,-3.705
Parker Washington,WR,JAC,2025.0,2.0,0.0,0.0,1.18,0.0,3.029,-54.21,116.0,262.47,22.72,,,6.038,6.018,0.028,0.007,13.041,-4.683,-6.299,-0.258,-3.747
Tyler Shough,QB,NO,2025.0,0.0,2837.21,15.18,227.3,1.4,10.041,64.741,31.0,0.0,0.0,260.52,-5.263,16.003,16.003,0.142,0.048,21.34,-2.508,-6.832,-0.405,-3.752
Anthony Richardson,QB,IND,2025.0,2.0,1940.56,10.98,438.16,4.38,10.26,3.787,29.0,0.0,0.0,186.785,-3.645,13.666,18.221,0.111,0.11,21.852,-4.845,-6.612,-0.096,-3.8
Brandin Cooks,WR,NO,2025.0,9.0,0.0,0.0,2.34,0.0,5.068,-56.028,91.0,431.7,35.83,289.678,-5.984,5.925,5.302,0.024,0.011,12.837,-4.796,-4.26,-0.238,-3.82
Nick Westbrook Ikhine,WR,MIA,2025.0,5.0,0.0,0.0,0.14,0.0,4.859,-50.761,88.0,409.86,29.83,281.87,-5.772,5.802,5.233,0.024,0.011,12.692,-4.919,-4.469,-0.238,-3.849
Blake Corum,RB,LAR,2025.0,1.0,0.0,0.0,349.55,2.17,4.046,-34.192,56.0,71.95,10.22,189.232,-3.691,6.077,6.744,0.045,0.03,13.979,-5.14,-6.359,-0.387,-3.894
Mike Williams,WR,LAC,2025.0,8.0,0.0,0.0,0.24,0.0,4.241,-69.325,81.0,388.55,27.63,279.318,-5.695,5.952,5.428,0.024,0.011,12.849,-4.769,-5.087,-0.237,-3.947
Devaughn Vele,WR,DEN,2025.0,1.0,0.0,0.0,0.34,0.0,4.022,-23.473,113.0,346.56,30.48,255.955,-5.149,5.621,5.255,0.027,0.007,12.5,-5.1,-5.305,-0.261,-3.954
Curtis Samuel,WR,BUF,2025.0,8.0,0.0,0.0,22.97,0.06,3.454,-81.905,98.0,254.79,25.01,,,4.953,4.489,0.023,0.01,12.004,-5.768,-5.873,-0.242,-3.961
Elic Ayomanor,WR,TEN,2025.0,0.0,0.0,0.0,2.02,0.0,3.166,-21.215,108.0,271.42,22.73,235.328,-4.692,5.974,5.748,0.04,0.009,13.23,-4.747,-6.162,-0.249,-3.962
Tim Patrick,WR,DET,2025.0,7.0,0.0,0.0,-0.01,0.0,3.59,-77.487,100.0,301.44,25.56,,,4.79,4.461,0.022,0.01,11.986,-5.932,-5.738,-0.242,-3.97
Malik Washington,WR,MIA,2025.0,1.0,0.0,0.0,18.34,0.11,3.104,-38.163,102.0,251.37,25.45,,,5.073,5.097,0.025,0.006,11.9,-5.648,-6.223,-0.261,-4.044
Jermaine Burton,WR,CIN,2025.0,1.0,0.0,0.0,0.92,0.0,2.687,-44.843,110.0,232.51,16.34,,,5.283,5.538,0.027,0.007,12.127,-5.438,-6.641,-0.259,-4.113
Daniel Jones,QB,IND,2025.0,6.0,1527.57,8.17,204.24,1.55,6.485,-86.016,33.0,0.0,0.0,224.54,-4.48,16.89,16.89,0.135,0.114,21.04,-1.621,-10.388,-0.077,-4.141
Luke Mccaffrey,WR,WAS,2025.0,1.0,0.0,0.0,0.6,0.0,2.381,-49.743,109.0,201.07,19.53,,,5.408,5.616,0.026,0.007,12.365,-5.313,-6.947,-0.259,-4.173
Jahan Dotson,WR,PHI,2025.0,3.0,0.0,0.0,1.25,0.0,2.675,-69.744,114.0,230.86,20.73,,,4.829,4.764,0.026,0.007,11.669,-5.892,-6.653,-0.261,-4.269
Jalen Nailor,WR,MIN,2025.0,3.0,0.0,0.0,5.59,0.02,4.067,-47.474,89.0,342.49,28.05,278.198,-5.67,4.802,4.479,0.033,0.007,11.909,-5.919,-5.261,-0.259,-4.277
Roman Wilson,WR,PIT,2025.0,1.0,0.0,0.0,0.92,0.0,3.205,-36.553,107.0,281.44,23.87,274.008,-5.571,5.53,5.591,0.025,0.008,12.316,-5.191,-6.123,-0.256,-4.285
Dont'E Thornton,WR,LVR,2025.0,0.0,0.0,0.0,2.53,0.0,2.965,-24.425,112.0,261.07,22.08,282.265,-5.772,5.75,6.218,0.031,0.009,12.715,-4.972,-6.363,-0.248,-4.339
Mack Hollins,WR,NE,2025.0,8.0,0.0,0.0,0.0,0.0,2.845,-91.655,125.0,236.11,18.32,,,4.422,4.098,0.022,0.01,11.831,-6.299,-6.482,-0.242,-4.341
Demarcus Robinson,WR,SF,2025.0,9.0,0.0,0.0,1.06,0.0,3.488,-81.308,105.0,306.62,20.07,281.302,-5.746,5.041,4.59,0.022,0.01,12.017,-5.68,-5.84,-0.241,-4.377
Troy Franklin,WR,DEN,2025.0,1.0,0.0,0.0,6.79,0.02,3.327,-34.603,97.0,273.41,23.0,281.49,-5.746,5.088,5.041,0.026,0.007,11.946,-5.634,-6.001,-0.261,-4.41
Isaac Teslaa,WR,DET,2025.0,0.0,0.0,0.0,0.19,0.0,2.362,-34.065,122.0,206.96,16.81,,,4.544,4.846,0.029,0.009,11.444,-6.177,-6.965,-0.246,-4.463
Elijah Moore,WR,BUF,2025.0,4.0,0.0,0.0,1.58,0.0,3.299,-64.917,120.0,283.64,25.55,279.978,-5.721,4.788,4.451,0.023,0.01,11.943,-5.933,-6.028,-0.242,-4.481
Kalif Raymond,WR,DET,2025.0,6.0,0.0,0.0,4.77,0.0,2.386,-91.355,111.0,199.0,16.76,,,4.38,4.252,0.022,0.01,11.8,-6.341,-6.942,-0.242,-4.509
Jalen Royals,WR,KC,2025.0,0.0,0.0,0.0,0.69,0.0,2.894,-25.565,115.0,242.89,21.27,272.045,-5.522,4.82,5.006,0.032,0.01,11.912,-5.901,-6.434,-0.245,-4.525
Juju Smith Schuster,WR,KC,2025.0,8.0,0.0,0.0,0.0,0.0,1.981,-105.475,124.0,164.15,15.1,,,4.688,4.725,0.023,0.011,11.992,-6.034,-7.346,-0.24,-4.54
Khadarel Hodge,WR,ATL,2025.0,1.0,0.0,0.0,0.0,0.0,1.962,-56.433,130.0,177.02,12.82,,,4.721,4.915,0.025,0.007,11.671,-6.0,-7.365,-0.26,-4.542
Jalin Hyatt,WR,NYG,2025.0,2.0,0.0,0.0,0.14,0.0,2.231,-66.98,117.0,203.3,15.92,,,4.382,4.506,0.024,0.006,11.401,-6.339,-7.097,-0.262,-4.566
Jake Bobo,WR,SEA,2025.0,2.0,0.0,0.0,0.0,0.0,2.172,-67.91,119.0,190.34,17.38,,,4.425,4.522,0.027,0.006,11.498,-6.296,-7.155,-0.262,-4.571
Arian Smith,WR,NYJ,2025.0,0.0,0.0,0.0,3.02,0.0,1.851,-42.255,129.0,166.76,14.78,,,4.67,4.901,0.027,0.009,11.48,-6.051,-7.477,-0.249,-4.592
Olamide Zaccheaus,WR,CHI,2025.0,5.0,0.0,0.0,3.49,0.0,2.271,-92.161,126.0,193.77,16.12,,,4.098,4.019,0.028,0.01,11.962,-6.623,-7.056,-0.243,-4.641
Bub Means,WR,NO,2025.0,1.0,0.0,0.0,1.73,0.0,1.465,-64.393,127.0,131.25,9.72,,,4.89,5.06,0.025,0.007,11.821,-5.832,-7.863,-0.259,-4.651
Tory Horton,WR,SEA,2025.0,0.0,0.0,0.0,0.0,0.0,2.188,-36.855,123.0,193.46,15.44,,,4.041,4.344,0.027,0.01,11.089,-6.681,-7.139,-0.245,-4.688
Kayshon Boutte,WR,NE,2025.0,2.0,0.0,0.0,0.19,0.0,2.618,-60.79,103.0,240.99,15.15,291.732,-6.039,4.88,4.733,0.027,0.006,11.81,-5.842,-6.71,-0.261,-4.713
Zay Jones,WR,ARI,2025.0,8.0,0.0,0.0,0.92,0.0,2.034,-104.635,121.0,173.44,15.83,,,4.085,4.044,0.021,0.01,11.665,-6.636,-7.294,-0.242,-4.724
Treylon Burks,WR,TEN,2025.0,3.0,0.0,0.0,4.08,0.0,1.752,-84.504,118.0,159.34,11.85,,,4.035,4.182,0.027,0.007,11.341,-6.686,-7.575,-0.26,-4.841
Xavier Hutchinson,WR,HOU,2025.0,2.0,0.0,0.0,0.0,0.0,1.653,-76.22,104.0,149.7,13.63,,,3.978,4.26,0.027,0.007,11.243,-6.743,-7.674,-0.259,-4.892
Derius Davis,WR,LAC,2025.0,2.0,0.0,0.0,40.36,0.13,1.227,-83.04,133.0,79.72,7.34,,,4.289,4.421,0.027,0.006,11.422,-6.433,-8.101,-0.262,-4.932
Ben Skowronek,WR,PIT,2025.0,4.0,0.0,0.0,0.0,0.0,1.398,-95.347,136.0,123.34,9.46,,,3.886,3.978,0.028,0.01,11.846,-6.836,-7.93,-0.242,-5.003
Sterling Shepard,WR,TB,2025.0,9.0,0.0,0.0,5.68,0.0,1.384,-114.968,128.0,114.09,9.64,,,3.895,4.05,0.027,0.01,11.762,-6.826,-7.944,-0.241,-5.004
Jaxson Dart,QB,NYG,2025.0,0.0,1027.84,5.78,108.34,0.73,4.426,-25.089,36.0,0.0,0.0,246.387,-4.928,15.97,15.97,0.15,0.064,21.24,-2.541,-12.446,-0.326,-5.06
David Moore,WR,CAR,2025.0,8.0,0.0,0.0,0.0,0.0,1.363,-115.365,131.0,118.76,8.66,,,3.718,3.879,0.027,0.01,11.705,-7.003,-7.964,-0.241,-5.069
Tylan Wallace,WR,BAL,2025.0,4.0,0.0,0.0,0.52,0.0,1.039,-101.087,132.0,100.35,6.91,,,3.784,4.036,0.022,0.01,11.57,-6.938,-8.289,-0.241,-5.156
Michael Woods,WR,CLE,2025.0,3.0,0.0,0.0,0.0,0.0,1.86,-82.784,135.0,164.18,15.13,291.368,-6.011,3.761,3.907,0.026,0.008,11.15,-6.96,-7.468,-0.253,-5.173
Ainias Smith,WR,PHI,2025.0,1.0,0.0,0.0,4.04,0.03,0.882,-73.713,134.0,66.65,6.0,,,3.645,4.206,0.024,0.008,11.039,-7.076,-8.445,-0.254,-5.259
Bo Melton,WR,GB,2025.0,2.0,0.0,0.0,4.0,0.02,0.569,-93.57,137.0,51.48,3.6,,,3.687,3.974,0.03,0.007,11.247,-7.034,-8.759,-0.258,-5.35
Malik Willis,QB,GB,2025.0,1.0,311.35,1.92,48.16,0.37,1.397,-116.926,42.0,0.0,0.0,,,16.108,16.108,0.115,0.062,19.735,-2.402,-15.476,-0.337,-6.072
Zach Wilson,QB,MIA,2025.0,4.0,334.39,1.97,19.84,0.04,0.982,-156.002,49.0,0.0,0.0,,,16.024,16.024,0.118,0.039,20.756,-2.486,-15.891,-0.451,-6.276
Jalen Milroe,QB,SEA,2025.0,0.0,330.44,1.88,98.52,0.66,1.731,-68.209,39.0,0.0,0.0,,,9.147,18.294,0.075,0.05,21.431,-9.364,-15.141,-0.397,-8.301
